entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Hawk Podcast,Left-Leaning,-36,1552052,-1596531,164,9464,9677102,9677102,[TikTok](https://tiktok.com/@mdg650hawk7thacct)
Isaiah Martin,Left-Leaning,14,1536439,338853,65,23638,7383478,7383478,[TikTok](https://tiktok.com/@isaiahrmartin)
Nick Shirley,Right-Leaning,4,1531130,232609,27,56709,18371842,18371842,[TikTok](https://www.tiktok.com/@nickshirleyy)
Lisandra Vazquez,Left-Leaning,7,1530513,305739,63,24294,8888400,8888400,[TikTok](https://tiktok.com/@lisandravcomedy)
Gaydar,Left-Leaning,28,1503412,560814,14,107387,7257400,7257400,[TikTok](https://www.tiktok.com/@gaydar.show)
Kamala Harris,Left-Leaning,137,1434384,1128329,15,95626,7340736,7340736,[TikTok](https://www.tiktok.com/@kamalaharris)
Christian Maldonado,Left-Leaning,-4,1417148,33977,12,118096,8131400,8131400,[TikTok](https://tiktok.com/@christianjmaldonado)
Greg Johnstone,Left-Leaning,-15,1332631,-454800,22,60574,6816603,6816603,[TikTok](https://tiktok.com/@johnstone.gregory)
Time Magazine,Neutral,234,1307168,1153125,31,42167,10813269,10813269,[TikTok](https://www.tiktok.com/@time)
Democratic Governors Association (DGA),Left-Leaning,131,1262665,947847,62,20366,8549538,8549538,[TikTok](https://tiktok.com/@demgovs)
Thiqydusty,Left-Leaning,57,1260350,623263,36,35010,5030380,5030380,[TikTok](https://www.tiktok.com/@thiqydusty)
Walter Masterson,Left-Leaning,-33,1252800,-1324318,18,69600,6880200,6880200,[TikTok](https://www.tiktok.com/@waltermasterson)
Hal for NY,Left-Leaning,-16,1247801,-276981,60,20797,15151019,15151019,[TikTok](https://www.tiktok.com/@hal_for_ny__)
The Guardian,Neutral,132,1237562,933593,47,26331,8417648,8417648,[TikTok](https://www.tiktok.com/@guardian)
Adam Mockler,Left-Leaning,-1,1210004,-3666,82,14756,11908725,11908725,[TikTok](https://tiktok.com/@adammockler)
Dr. Zachary Rubin,Neutral,10,1206269,183640,74,16301,12260690,12260690,[TikTok](https://www.tiktok.com/@rubin_allergy)
NPR,Neutral,30,1196487,434974,95,12595,12378027,12378027,[TikTok](https://www.tiktok.com/@npr)
Head in the Office,Left-Leaning,265,1174127,1064402,24,48922,5963169,5963169,[TikTok](https://www.tiktok.com/@headintheoffice)
The Aravosis Report,Left-Leaning,11,1159150,200702,93,12464,10724621,10724621,[TikTok](https://tiktok.com/@aravosis)
Good Trouble - Sam Rosenholtz,Left-Leaning,-33,1134929,-903124,50,22699,5602452,5602452,[TikTok](https://www.tiktok.com/@goodtrouble_)
Alexis Rose Hinkley - Traveling Nurse,Left-Leaning,44,1100260,458666,56,19648,6126193,6126193,[TikTok](https://www.tiktok.com/@travelingnurse)
Don Lemon,Left-Leaning,-87,1099916,-4994579,58,18964,10846117,10846117,[TikTok](https://tiktok.com/@donlemon)
Total Hypocrisy,Left-Leaning,598,1060067,1056770,108,9815,7798298,7798298,[TikTok](https://www.tiktok.com/@totalhypocrisy)
Taterbanditnews,Right-Leaning,3,1030629,13503,69,14937,3934166,3934166,[TikTok](https://www.tiktok.com/@sassholehitman)
letsdiscusssomething,Left-Leaning,-23,1006233,-429510,28,35937,6271340,6271340,[TikTok](https://www.tiktok.com/@letsdiscusssomething)
Dannie D,Left-Leaning,-73,993916,-2626279,154,6454,5897425,5897425,[TikTok](https://tiktok.com/@dannied01)
Chris Mowrey,Left-Leaning,96,967985,594503,31,31225,5473518,5473518,[TikTok](https://www.tiktok.com/@chrisdmowrey)
Michael Foote,Left-Leaning,107,949066,615118,42,22597,4742476,4742476,[TikTok](https://www.tiktok.com/@michael_foote_)
Tucker Carlson Network,Right-Leaning,-25,944927,-425575,55,17180,10825052,10825052,[TikTok](https://www.tiktok.com/@tuckercarlsonnetwork)
Megyn Kelly,Right-Leaning,-46,939258,-1167255,62,15149,10830218,10830218,[TikTok](https://www.tiktok.com/@megynkellyshow)
Pastor Paul Drees,Left-Leaning,26,923009,222311,10,92301,5204318,5204318,[TikTok](https://www.tiktok.com/@pastorpauldrees)
CBS Chicago,Neutral,40,892140,278816,113,7895,12882066,12882066,[TikTok](https://www.tiktok.com/@cbschicago)
Hasan Piker,Left-Leaning,-61,885154,-1954177,21,42150,7591686,7591686,[TikTok](https://www.tiktok.com/@hasandpiker)
Jimmy Kimmel Live,Left-Leaning,-2,847057,-105168,7,121008,5778600,5778600,[TikTok](https://www.tiktok.com/@jimmykimmellive)
Tim Walz,Left-Leaning,47,846091,265938,7,120870,4614900,4614900,[TikTok](https://www.tiktok.com/@timwalz)
Fox & Friends,Right-Leaning,10,840344,68476,105,8003,12808877,12808877,[TikTok](https://www.tiktok.com/@foxandfriends)
Amanda Nelson - Amanda's Mild Takes,Left-Leaning,112,839734,540552,64,13121,3668439,3668439,[TikTok](https://www.tiktok.com/@amandasmildtakes)
Raybay,Left-Leaning,228,836148,709025,1,836148,2924449,2924449,[TikTok](https://www.tiktok.com/@ray_bay_bay)
Ohhh That’s Rich,Left-Leaning,48,833697,288994,30,27790,4731899,4731899,[TikTok](https://www.tiktok.com/@ohhthatsrich)
FOX 32 Chicago (WFLD),Neutral,-117,831285,-8975097,69,12048,18909946,18909946,[TikTok](https://www.tiktok.com/@fox32chicago)
FOX 5 DC (WTTG),Neutral,302,814534,752342,24,33939,4521817,4521817,[TikTok](https://www.tiktok.com/@fox5dc)
Doxielvr,Right-Leaning,24,786008,146625,97,8103,3561236,3561236,[TikTok](https://www.tiktok.com/@doxielvr)
Markwayne Mullin,Right-Leaning,27,783595,157590,41,19112,6373699,6373699,[TikTok](https://www.tiktok.com/@senmullin)
Riley Gaines Barker,Right-Leaning,-100,779473,-3602107,9,86608,4833000,4833000,[TikTok](https://www.tiktok.com/@rileygaines)
The Tennessee Holler,Left-Leaning,13,765458,76689,427,1793,7455861,7455861,[TikTok](https://www.tiktok.com/@thetnholler)
David Pakman Show,Left-Leaning,-45,758166,-685633,134,5658,8300805,8300805,[TikTok](https://tiktok.com/@davidpakmanshow)
Jess Craven,Left-Leaning,80,739224,389367,78,9477,3828383,3828383,[TikTok](https://tiktok.com/@jesscraven101)
Abdalkarim,Neutral,-29,736450,-417481,36,20457,1500244,1500244,[TikTok](https://www.tiktok.com/@heyitsmeagainguys)
Benny Johnson,Right-Leaning,-29,697890,-446358,92,7586,8141552,8141552,"[TikTok](https://www.tiktok.com/@bennyjohnson), [TikTok](https://tiktok.com/@realbennyjohnson)"
Imani Barbarin - Crutches and Spice,Left-Leaning,38,687353,148491,99,6943,3291314,3291314,[TikTok](https://www.tiktok.com/@crutches_and_spice)
Philip DeFranco,Left-Leaning,-83,679990,-2366040,28,24285,4975821,4975821,"[TikTok](https://www.tiktok.com/@pdspolitics), [TikTok](https://www.tiktok.com/@philipdefranco)"
Jesse Watters,Right-Leaning,29,663698,82791,77,8619,6750220,6750220,[TikTok](https://tiktok.com/@jessebwatters)
Mrs. Frazzled,Left-Leaning,78,658936,318766,79,8341,3723503,3723503,[TikTok](https://www.tiktok.com/@mrs.frazzled)
Los Angeles Times,Neutral,71,657113,297263,87,7553,7822780,7822780,[TikTok](https://www.tiktok.com/@latimes)
