entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Kristan Hawkins,Right-Leaning,22,40186,4956,6,6698,295102,295102,[TikTok](https://www.tiktok.com/@kristanmercerhawkins)
Jessica Valenti,Left-Leaning,8,39832,1132,6,6639,194039,194039,[TikTok](https://www.tiktok.com/@auntiekilljoy)
The Hill,Neutral,-78,39152,-35425,31,1263,576859,576859,[TikTok](https://tiktok.com/@thehillpolitics)
Brett Cooper,Right-Leaning,,38942,,4,9736,366300,366300,[TikTok](https://tiktok.com/@brettcooper_)
I'm So ATL,Left-Leaning,-133,38695,-81235,53,730,313095,313095,[TikTok](https://www.tiktok.com/@imsoatlmoments_)
Wear The Peace,Neutral,-57,38404,-25095,31,1239,487350,487350,[TikTok](https://www.tiktok.com/@wearthepeaceco)
Jodi Picoult,Left-Leaning,61,38210,15128,8,4776,184444,184444,[TikTok](https://www.tiktok.com/@jodipicoult)
Distill Social,Left-Leaning,22,37808,3990,24,1575,220542,220542,[TikTok](https://www.tiktok.com/@distillsocial)
The Moderate Case,Right-Leaning,,37705,,1,37705,339006,339006,[TikTok](https://www.tiktok.com/@themoderatecase)
D.A.R.Y.L.2.0,Left-Leaning,6,37260,-422,108,345,277395,277395,[TikTok](https://tiktok.com/@d.a.r.y.l.2.0)
Brian Baez,Left-Leaning,-367,36679,-1739697,14,2620,182979,182979,[TikTok](https://www.tiktok.com/@mentallydivine)
Earthjustice,Left-Leaning,220,36539,31979,2,18270,124139,124139,[TikTok](https://tiktok.com/@earthjustice)
Dave Bondy,Right-Leaning,-57,35936,-23611,28,1283,487112,487112,[TikTok](https://www.tiktok.com/@davebondy)
Newsmax,Right-Leaning,202,35736,30342,35,1021,574177,574177,[TikTok](https://www.tiktok.com/@newsmaxtv)
Boston Brian,Left-Leaning,333,35282,34154,40,882,150593,150593,[TikTok](https://tiktok.com/@dembostonbrian)
"Good Morning, Bad News",Left-Leaning,-138,35249,-79391,1,35249,156800,156800,[TikTok](https://www.tiktok.com/@goodmorningbadnews)
Scott Galloway,Neutral,-202,34527,-180117,15,2302,498019,498019,[TikTok](https://www.tiktok.com/@profgalloway)
Tiffany Fanae Butler,Right-Leaning,79,33539,15351,10,3354,153639,153639,[TikTok](https://www.tiktok.com/@thatsme_tiffany)
Adam Conover,Left-Leaning,305,33393,31725,6,5566,176816,176816,[TikTok](https://www.tiktok.com/@adamconover)
Cheyenne Hunt,Left-Leaning,-226,33346,-237777,15,2223,189698,189698,[TikTok](https://www.tiktok.com/@cheyennehuntca)
Elizabeth Warren,Left-Leaning,-185,33331,-140498,3,11110,136335,136335,[TikTok](https://www.tiktok.com/@elizabethwarren)
Saikat Chakrabarti,Left-Leaning,-82,32379,-36062,37,875,187507,187507,[TikTok](https://www.tiktok.com/@saikatforcongress)
CBS Texas,Neutral,,32301,,1,32301,562361,562361,[TikTok](https://www.tiktok.com/@cbsnewstexas)
The Rubin Report,Right-Leaning,-183,31780,-134522,66,482,404511,404511,[TikTok](https://www.tiktok.com/@officialrubinreport)
Washington Post Opinions,Neutral,398,31569,31353,12,2631,290641,290641,[TikTok](https://www.tiktok.com/@postopinions)
Eloise (cheeringforchange),Left-Leaning,-418,30848,-3709434,12,2571,134958,134958,[TikTok](https://www.tiktok.com/@cheeringforchange)
Van Nguyen,Right-Leaning,-63,30834,-26764,13,2372,164910,164910,[TikTok](https://www.tiktok.com/@iamvantnguyen)
The Rest Is Politics US,Neutral,32,30719,5600,23,1336,927840,927840,[TikTok](https://www.tiktok.com/@restpoliticsus)
Kali Fontanilla,Right-Leaning,-42,30691,-16915,31,990,279733,279733,[TikTok](https://tiktok.com/@kaliwillnotbecensored)
Jamira Burley,Left-Leaning,133,30553,21954,36,849,244081,244081,[TikTok](https://tiktok.com/@jawnontheinternet)
Chris Murphy,Left-Leaning,-413,30087,-2815295,1,30087,161952,161952,[TikTok](https://www.tiktok.com/@chrismurphyct)
Scroll Dis,Left-Leaning,-43,30024,-16769,32,938,321803,321803,[TikTok](https://www.tiktok.com/@scrolldis?lang=en)
Mario J Pentn,Right-Leaning,112,29810,18481,15,1987,570158,570158,[TikTok](https://www.tiktok.com/@mariojpenton)
The Canceled Christian,Left-Leaning,54,29800,10060,31,961,325516,325516,[TikTok](https://www.tiktok.com/@canceledchristian)
Ambers Closet,Left-Leaning,123,29571,19919,14,2112,662613,662613,[TikTok](https://www.tiktok.com/@amberscloset33)
Daily Beltway,Right-Leaning,-209,29186,-151540,58,503,297477,297477,[TikTok](https://www.tiktok.com/@dailybeltway)
Alex Fasulo,Right-Leaning,55,29117,10200,3,9706,226417,226417,[TikTok](https://www.tiktok.com/@alexfasulobiz)
Marianne Williamson,Left-Leaning,312,28228,27145,4,7057,198011,198011,[TikTok](https://tiktok.com/@marwilliamsonofficial)
The Miami Herald,Neutral,236,27936,25061,3,9312,415868,415868,[TikTok](https://www.tiktok.com/@miamiherald)
Nigel Farage,Right-Leaning,-26,27696,-10351,2,13848,230500,230500,[TikTok](https://www.tiktok.com/@nigel_farage)
Stuff Keeps Happening,Left-Leaning,69,27558,11783,3,9186,95371,95371,[TikTok](https://tiktok.com/@endeavorance)
Cynthia Nixon,Left-Leaning,75,27424,13032,3,9141,305513,305513,[TikTok](https://www.tiktok.com/@cynthianixon)
Graham Platner,Left-Leaning,-74,27359,-28599,41,667,263484,263484,[TikTok](https://www.tiktok.com/@grahamformaine)
Black Tea News,Right-Leaning,60,27356,10766,42,651,216092,216092,[TikTok](https://www.tiktok.com/@blackteanews)
Trevor Noah,Left-Leaning,-53,27288,-18722,7,3898,520700,520700,[TikTok](https://www.tiktok.com/@trevornoah)
DOGE Update Guy,Right-Leaning,-136,27284,-58988,40,682,303701,303701,[TikTok](https://www.tiktok.com/@dug_dogeupdateguy)
Future Trillionaires,Right-Leaning,85,27229,13940,8,3404,644891,644891,[TikTok](https://www.tiktok.com/@future_trillionaires)
AB Burns-Tucker,Left-Leaning,-37,27002,-11492,22,1227,163689,163689,[TikTok](https://www.tiktok.com/@iamlegallyhype)
Dr. Jennifer Lincoln,Left-Leaning,-209,26897,-139444,17,1582,278305,278305,[TikTok](https://www.tiktok.com/@drjenniferlincoln)
Ruben Gallego,Left-Leaning,-166,26480,-83927,31,854,418887,418887,[TikTok](https://www.tiktok.com/@rubengallegoaz)
Iowa Starting Line,Left-Leaning,98,26365,15524,25,1055,330449,330449,[TikTok](https://www.tiktok.com/@iowastartingline?)
WFF News,Right-Leaning,-105,26114,-38230,9,2902,200698,200698,[TikTok](https://tiktok.com/@wffnews)
Kat Abughazaleh,Left-Leaning,-123,26099,-47378,17,1535,862826,862826,[TikTok](https://tiktok.com/@katmabu)
