entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Qasim Rashid,Left-Leaning,19,75038,-10713,24,3127,322177,322177,[TikTok](https://tiktok.com/@qasim.rashid)
The Hill,Neutral,-141,74577,-244899,28,2663,1731437,1731437,[TikTok](https://tiktok.com/@thehillpolitics)
Turning Point USA,Right-Leaning,-193,74557,-476204,7,10651,578800,578800,[TikTok](https://www.tiktok.com/@turningpointusaofficial)
Quentin R. Jiles,Left-Leaning,203,73720,58796,54,1365,398338,398338,[TikTok](https://www.tiktok.com/@quentinjiles)
Frederick Joseph,Left-Leaning,-35,73642,-42871,21,3507,543855,543855,[TikTok](https://www.tiktok.com/@fredericktjoseph)
Savannah Craven,Right-Leaning,49,73556,13497,13,5658,1496801,1496801,[TikTok](https://tiktok.com/@savannahacraven)
Kat Abughazaleh,Left-Leaning,17,73477,-8872,28,2624,408374,408374,[TikTok](https://tiktok.com/@katmabu)
WTVR CBS 6 (Richmond CBS),Neutral,-66,73028,-66371,21,3478,1462126,1462126,[TikTok](https://www.tiktok.com/@cbs6_rva)
Ben Shapiro,Right-Leaning,-127,72359,-200624,26,2783,934071,934071,[TikTok](https://www.tiktok.com/@real.benshapiro)
Vicki Chan MD,Left-Leaning,-102,72274,-112095,64,1129,1276752,1276752,[TikTok](https://www.tiktok.com/@vickichanmd)
Nathan Jun,Left-Leaning,-43,72230,-45406,6,12038,368186,368186,[TikTok](https://www.tiktok.com/@nathancjun)
Olivia Julianna,Left-Leaning,52,70943,14074,14,5067,473912,473912,[TikTok](https://tiktok.com/@0liviaJulianna)
Isabel Brown,Right-Leaning,-173,69827,-319986,15,4655,426607,426607,[TikTok](https://tiktok.com/@theisabelbrown)
Kaivan Shroff,Left-Leaning,117,69557,36473,35,1987,1112167,1112167,[TikTok](https://www.tiktok.com/@kaivanshroff)
Carly (uncertainlycarly),Left-Leaning,330,69350,66069,14,4954,547741,547741,[TikTok](https://www.tiktok.com/@uncertainlycarly)
Builder's Movement,Neutral,-26,68501,-38345,48,1427,1622179,1622179,[TikTok](https://www.tiktok.com/@buildersmvt)
Saikat Chakrabarti,Left-Leaning,77,68441,23997,42,1630,373175,373175,[TikTok](https://www.tiktok.com/@saikatforcongress)
Matthew Rein,Left-Leaning,-3,68234,-19853,32,2132,1072806,1072806,"[TikTok](https://www.tiktok.com/@matthewarein), [TikTok](https://tiktok.com/@matthew.rein)"
Inquirher,Left-Leaning,-67,67894,-62340,10,6789,461124,461124,[TikTok](https://www.tiktok.com/@inquirher)
Angel Barragan,Left-Leaning,-51,67786,-49178,49,1383,744906,744906,[TikTok](https://tiktok.com/@senor_barragan)
