entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,298034082,82815937,1097,271681,5155338363,5155338363,[TikTok](https://www.tiktok.com/@dailymail)
NBC News,Neutral,5,87418945,66536642,414,211157,1053091457,1053091457,[TikTok](https://tiktok.com/@nbcnews)
CBS News,Neutral,-1,67457405,38544296,716,94214,908356998,908356998,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
Carlos Eduardo Espina,Left-Leaning,-1,62604192,36046195,466,134344,963044652,963044652,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
Courier,Left-Leaning,10,54896401,47654187,298,184216,414637406,414637406,[TikTok](https://tiktok.com/@couriernewsroom)
Aaron Parnas,Left-Leaning,-1,51078131,28529135,376,135846,431810984,431810984,[TikTok](https://tiktok.com/@aaronparnas1)
MS NOW,Left-Leaning,1,40494240,19764084,339,119452,574866791,574866791,[TikTok](https://www.tiktok.com/@msnow)
BBC News,Neutral,-4,37197168,12131631,500,74394,579326370,579326370,[TikTok](https://www.tiktok.com/@bbcnews)
CNN,Neutral,0,36911702,22976709,369,100032,492443019,492443019,[TikTok](https://tiktok.com/@cnn)
ABC News,Neutral,-4,35629443,14305125,445,80066,531906301,531906301,[TikTok](https://www.tiktok.com/@abcnews)
The Daily Show,Left-Leaning,2,25024105,15562062,132,189577,192703047,192703047,[TikTok](https://tiktok.com/@thedailyshow)
NY Post,Right-Leaning,-1,23235104,12721597,558,41640,378817094,378817094,[TikTok](https://www.tiktok.com/@nypost)
NowThis,Left-Leaning,-3,17633974,6147175,121,145735,131137291,131137291,[TikTok](https://www.tiktok.com/@nowthisimpact)
Sky News,Neutral,0,12745343,4749689,634,20103,266355846,266355846,[TikTok](https://tiktok.com/@skynews)
Al Jazeera English,Neutral,1,12612673,7078637,259,48698,141721031,141721031,[TikTok](https://tiktok.com/@aljazeeraenglish)
Univision Noticias,Neutral,2,12103726,7216287,192,63040,376487797,376487797,[TikTok](https://www.tiktok.com/@uninoticias)
TizzyEnt,Left-Leaning,6,9332469,5297174,68,137242,73659130,73659130,[TikTok](https://tiktok.com/@tizzyent)
The Late Show with Stephen Colbert,Left-Leaning,-6,8853890,-1446927,84,105403,69206048,69206048,[TikTok](https://www.tiktok.com/@colbertlateshow)
MeidasTouch,Left-Leaning,22,8696906,7045014,181,48049,66023822,66023822,[TikTok](https://tiktok.com/@meidastouch)
Harry Sisson,Left-Leaning,8,8332758,5005055,241,34576,63556940,63556940,[TikTok](https://tiktok.com/@harryjsisson)
Marcus DiPaola,Neutral,66,7368622,6880956,74,99576,42471150,42471150,[TikTok](https://tiktok.com/@marcus.dipaola)
Under the Desk News,Left-Leaning,3,7021223,3448815,78,90016,41786441,41786441,[TikTok](https://tiktok.com/@underthedesknews)
Politico Mexico,Neutral,-4,7002326,2414999,558,12549,110266045,110266045,[TikTok](https://tiktok.com/@politicomx)
Benjamín Zamora,Neutral,0,6537476,2573762,168,38914,144777253,144777253,[TikTok](https://tiktok.com/@benjaminzamoratv)
Clips of Kamala,Left-Leaning,91,6517778,6256898,11,592525,41092486,41092486,[TikTok](https://www.tiktok.com/@clipsofkamala)
Alexandria Ocasio-Cortez,Left-Leaning,23,6345597,5124614,10,634560,29924978,29924978,"[TikTok](https://www.tiktok.com/@aoc), [TikTok](https://tiktok.com/@aocinthehouse)"
Ro Khanna,Left-Leaning,269,6250433,6245032,17,367673,47354671,47354671,[TikTok](https://tiktok.com/@rokhannausa)
Newsweek,Neutral,75,6073259,5738697,304,19978,125469398,125469398,[TikTok](https://tiktok.com/@newsweek)
The Democrats,Left-Leaning,7,5562720,3193902,55,101140,52616489,52616489,[TikTok](https://tiktok.com/@democrats)
Good Trouble - Sam Rosenholtz,Left-Leaning,-3,5180028,1778650,64,80938,28785669,28785669,[TikTok](https://www.tiktok.com/@goodtrouble_)
Allie O’Brien,Left-Leaning,50,4794383,4257743,16,299649,27373160,27373160,[TikTok](https://tiktok.com/@allie_202_)
Josh Helfgott,Left-Leaning,6,4687631,2634766,60,78127,30702666,30702666,[TikTok](https://tiktok.com/@joshhelfgott)
Fox News,Right-Leaning,27,4586117,3585977,18,254784,93244635,93244635,[TikTok](https://tiktok.com/@foxnews)
The New York Times,Neutral,1,4526220,2120891,113,40055,35463493,35463493,[TikTok](https://tiktok.com/@nytimes)
ABC World News Tonight,Neutral,-15,4426598,-80140,145,30528,94000154,94000154,[TikTok](https://www.tiktok.com/@abcworldnews)
