entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,80899158,-5134598,710,113942,1348842044,1348842044,[TikTok](https://www.tiktok.com/@dailymail)
NBC News,Neutral,1,36699918,5962013,529,69376,481250426,481250426,[TikTok](https://tiktok.com/@nbcnews)
Aaron Parnas,Left-Leaning,-1,31577581,-5966692,326,96864,213913419,213913419,[TikTok](https://tiktok.com/@aaronparnas1)
Dylan Page,Neutral,17,30372715,22316202,55,552231,267542070,267542070,[TikTok](https://www.tiktok.com/@dylan.page)
Courier,Left-Leaning,1,27195521,3446370,248,109659,227314694,227314694,[TikTok](https://tiktok.com/@couriernewsroom)
CBS News,Neutral,3,25053791,7017427,633,39579,359683405,359683405,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
ABC News,Neutral,3,24785341,7617403,398,62275,363814128,363814128,[TikTok](https://www.tiktok.com/@abcnews)
Metro,Neutral,-4,22358803,-1977337,255,87682,311453727,311453727,[TikTok](https://tiktok.com/@metrouk)
BBC News,Neutral,3,21946730,5581532,511,42949,361332419,361332419,[TikTok](https://www.tiktok.com/@bbcnews)
Carlos Eduardo Espina,Left-Leaning,-3,19454729,-3048040,405,48036,286671687,286671687,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
Al Jazeera English,Neutral,5,18290863,7084043,410,44612,195293510,195293510,[TikTok](https://tiktok.com/@aljazeeraenglish)
CNN,Neutral,-1,16624611,217082,511,32533,241118397,241118397,[TikTok](https://tiktok.com/@cnn)
MS NOW,Left-Leaning,-8,14774527,-9246665,338,43712,189077675,189077675,[TikTok](https://www.tiktok.com/@msnow)
NY Post,Right-Leaning,3,13050271,2005696,542,24078,265787296,265787296,[TikTok](https://www.tiktok.com/@nypost)
Fox News,Right-Leaning,-2,12399908,-1524185,511,24266,269388518,269388518,[TikTok](https://tiktok.com/@foxnews)
NowThis,Left-Leaning,-8,10514891,-8254051,223,47152,93785643,93785643,[TikTok](https://www.tiktok.com/@nowthisimpact)
The Daily Show,Left-Leaning,3,10108942,2031163,124,81524,82135454,82135454,[TikTok](https://tiktok.com/@thedailyshow)
Pink News,Left-Leaning,0,8608400,-1003244,200,43042,72785131,72785131,[TikTok](https://tiktok.com/@pinknews)
CBS Mornings,Neutral,4,7328423,1043337,523,14012,112997185,112997185,[TikTok](https://tiktok.com/@cbsmornings)
Brut America,Neutral,-5,6662543,-4599953,371,17958,108737037,108737037,[TikTok](https://tiktok.com/@brutamerica)
Team Trump,Right-Leaning,14,6154890,2672903,55,111907,97001000,97001000,[TikTok](https://www.tiktok.com/@teamtrump)
Reuters,Neutral,8,5979808,2063129,230,25999,57260487,57260487,[TikTok](https://www.tiktok.com/@reuters)
Charlie Kirk,Right-Leaning,-9,5446895,-6317054,81,67246,61583083,61583083,[TikTok](https://www.tiktok.com/@thecharliekirkshow)
MeidasTouch,Left-Leaning,-5,5031778,-4163107,171,29426,33007128,33007128,[TikTok](https://tiktok.com/@meidastouch)
Sky News,Neutral,17,3980122,1350068,594,6701,94017674,94017674,[TikTok](https://tiktok.com/@skynews)
James Talarico,Left-Leaning,86,3772111,3270414,8,471514,24061202,24061202,[TikTok](https://www.tiktok.com/@jamestalarico)
LiveNOW from FOX,Right-Leaning,20,3387629,1207443,168,20164,81632324,81632324,[TikTok](https://tiktok.com/@livenowfox)
TizzyEnt,Left-Leaning,-6,3301617,-3522760,55,60029,23545568,23545568,[TikTok](https://tiktok.com/@tizzyent)
Lisandra Vazquez,Left-Leaning,-5,3194911,-2185977,88,36306,18917021,18917021,[TikTok](https://tiktok.com/@lisandravcomedy)
Candace Owens,Right-Leaning,16,3153034,903148,37,85217,29429687,29429687,[TikTok](https://www.tiktok.com/@candaceoshow)
Newsweek,Neutral,-2,3074550,-999019,244,12601,69172498,69172498,[TikTok](https://tiktok.com/@newsweek)
Tawni (vintagetawni1),Left-Leaning,,2995201,,1,2995201,14638653,14638653,[TikTok](https://www.tiktok.com/@vintagetawni1)
Philip DeFranco,Left-Leaning,-8,2955420,-1942147,27,109460,23246214,23246214,[TikTok](https://www.tiktok.com/@philipdefranco)
Harry Sisson,Left-Leaning,9,2870997,436222,139,20655,20193375,20193375,[TikTok](https://tiktok.com/@harryjsisson)
Dannie D,Left-Leaning,-2,2827562,-838076,214,13213,14315980,14315980,[TikTok](https://tiktok.com/@dannied01)
Univision Noticias,Neutral,-8,2717781,-1667456,156,17422,82631340,82631340,[TikTok](https://www.tiktok.com/@uninoticias)
Benjamín Zamora,Neutral,2,2636541,-331762,121,21790,57878128,57878128,[TikTok](https://tiktok.com/@benjaminzamoratv)
Brian Tyler Cohen,Left-Leaning,2,2618377,-236498,61,42924,18194248,18194248,[TikTok](https://tiktok.com/@briantylercohen)
Politico Mexico,Neutral,9,2553555,377130,442,5777,45875234,45875234,[TikTok](https://tiktok.com/@politicomx)
David Pakman Show,Left-Leaning,-8,2502076,-1235266,165,15164,30316842,30316842,[TikTok](https://tiktok.com/@davidpakmanshow)
ABC World News Tonight,Neutral,-5,2384266,-1083597,154,15482,44968253,44968253,[TikTok](https://www.tiktok.com/@abcworldnews)
Piers Morgan Uncensored,Right-Leaning,135,2209416,2051643,34,64983,25315132,25315132,[TikTok](https://www.tiktok.com/@piersmorganuncensored)
Marcus DiPaola,Neutral,8,2198019,182115,31,70904,13829026,13829026,[TikTok](https://tiktok.com/@marcus.dipaola)
Hawk Podcast,Left-Leaning,29,2055844,918784,526,3908,15678762,15678762,[TikTok](https://tiktok.com/@mdg650hawk7thacct)
The Late Show with Stephen Colbert,Left-Leaning,-1,2016991,-368762,88,22920,18567218,18567218,[TikTok](https://www.tiktok.com/@colbertlateshow)
News Nation,Neutral,81,1993220,1614036,246,8103,38555860,38555860,[TikTok](https://www.tiktok.com/@newsnationnow)
Democratic Governors Association (DGA),Left-Leaning,18,1983298,556331,48,41319,8735469,8735469,[TikTok](https://tiktok.com/@demgovs)
Lisa Remillard,Neutral,-14,1921010,-1708270,28,68608,19789184,19789184,[TikTok](https://tiktok.com/@lisaremillard)
ABC News Live,Neutral,19,1799736,493970,174,10343,15126642,15126642,[TikTok](https://tiktok.com/@abcnewslive)
Under the Desk News,Left-Leaning,-24,1755700,-3045631,52,33763,9991876,9991876,[TikTok](https://tiktok.com/@underthedesknews)
