entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,141325491,-156708591,953,148295,2534550791,2534550791,[TikTok](https://www.tiktok.com/@dailymail)
Aaron Parnas,Left-Leaning,4,44148877,-6929254,343,128714,351369273,351369273,[TikTok](https://tiktok.com/@aaronparnas1)
Carlos Eduardo Espina,Left-Leaning,1,42311529,-20292663,380,111346,635750625,635750625,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
CBS News,Neutral,-1,39371294,-28086111,573,68711,525035420,525035420,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
NBC News,Neutral,-3,34720622,-52698323,264,131518,413949461,413949461,[TikTok](https://tiktok.com/@nbcnews)
MS NOW,Left-Leaning,1,27081463,-13412777,259,104562,351685474,351685474,[TikTok](https://www.tiktok.com/@msnow)
ABC News,Neutral,3,26136707,-9492736,352,74252,370493162,370493162,[TikTok](https://www.tiktok.com/@abcnews)
CNN,Neutral,1,25327490,-11584212,311,81439,299171949,299171949,[TikTok](https://tiktok.com/@cnn)
Courier,Left-Leaning,-4,24343116,-30553285,187,130177,199543955,199543955,[TikTok](https://tiktok.com/@couriernewsroom)
BBC News,Neutral,-2,22067693,-15129475,434,50847,314873846,314873846,[TikTok](https://www.tiktok.com/@bbcnews)
NowThis,Left-Leaning,2,17985424,351450,139,129392,124061971,124061971,[TikTok](https://www.tiktok.com/@nowthisimpact)
NY Post,Right-Leaning,0,17148603,-6086501,560,30623,286294830,286294830,[TikTok](https://www.tiktok.com/@nypost)
MeidasTouch,Left-Leaning,6,14479015,5782109,256,56559,101316466,101316466,[TikTok](https://tiktok.com/@meidastouch)
The Daily Show,Left-Leaning,-3,11887228,-13136877,111,107092,99182920,99182920,[TikTok](https://tiktok.com/@thedailyshow)
TizzyEnt,Left-Leaning,2,10146484,814015,69,147050,74645026,74645026,[TikTok](https://tiktok.com/@tizzyent)
Politico Mexico,Neutral,7,7164339,162013,574,12481,109974791,109974791,[TikTok](https://tiktok.com/@politicomx)
Newsweek,Neutral,11,6486111,412852,325,19957,130354929,130354929,[TikTok](https://tiktok.com/@newsweek)
Brut America,Neutral,22,6252350,2312725,300,20841,86548531,86548531,[TikTok](https://tiktok.com/@brutamerica)
ABC World News Tonight,Neutral,16,6100639,1674041,157,38858,107101537,107101537,[TikTok](https://www.tiktok.com/@abcworldnews)
Harry Sisson,Left-Leaning,0,5738127,-2594631,131,43802,38958050,38958050,[TikTok](https://tiktok.com/@harryjsisson)
Sky News,Neutral,-7,5673705,-7071638,649,8742,121938846,121938846,[TikTok](https://tiktok.com/@skynews)
Marcus DiPaola,Neutral,-1,5455107,-1913515,71,76832,31257681,31257681,[TikTok](https://tiktok.com/@marcus.dipaola)
The Democrats,Left-Leaning,6,5444499,-118221,56,97223,28344037,28344037,[TikTok](https://tiktok.com/@democrats)
