entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
LatinUS,Neutral,0,177110712,21687630,2557,69265,2128180455,2128180455,[TikTok](https://www.tiktok.com/@latinus_us)
Daily Mail,Neutral,0,59287983,-2436076,332,178578,595445324,595445324,[TikTok](https://www.tiktok.com/@dailymail)
CBS News,Neutral,2,54880784,15283220,860,63815,719951477,719951477,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
NBC News,Neutral,0,46952319,5193052,726,64673,559362728,559362728,[TikTok](https://tiktok.com/@nbcnews)
CNN,Neutral,-2,44234496,-326437,812,54476,588680870,588680870,[TikTok](https://tiktok.com/@cnn)
NowThis,Left-Leaning,3,36512659,5721660,330,110644,286984849,286984849,[TikTok](https://www.tiktok.com/@nowthisimpact)
Aaron Parnas,Left-Leaning,0,33371630,-4063691,329,101434,259559974,259559974,[TikTok](https://tiktok.com/@aaronparnas1)
ABC News,Neutral,0,29467786,-3350204,676,43591,339794363,339794363,[TikTok](https://www.tiktok.com/@abcnews)
BBC News,Neutral,-3,29104507,-9053791,830,35066,477397868,477397868,[TikTok](https://www.tiktok.com/@bbcnews)
Brut America,Neutral,1,26219406,-3284825,226,116015,222426208,222426208,[TikTok](https://tiktok.com/@brutamerica)
Headquarters,Left-Leaning,103,23750314,22480005,201,118161,162060703,162060703,[TikTok](https://www.tiktok.com/@headquarters)
Dylan Page,Neutral,-2,22534040,-7901349,46,489870,176886147,176886147,[TikTok](https://www.tiktok.com/@dylan.page)
Fox News,Right-Leaning,0,21020316,64819,920,22848,399883819,399883819,[TikTok](https://tiktok.com/@foxnews)
The Democrats,Left-Leaning,0,20387491,1608109,124,164415,115083312,115083312,[TikTok](https://tiktok.com/@democrats)
Al Jazeera English,Neutral,-3,17172488,-5848063,951,18057,386383708,386383708,[TikTok](https://tiktok.com/@aljazeeraenglish)
ABC7 LA,Neutral,-1,15876156,-2025382,743,21368,210857712,210857712,[TikTok](https://www.tiktok.com/@abc7la)
NY Post,Right-Leaning,5,10425671,-904487,407,25616,172897717,172897717,[TikTok](https://www.tiktok.com/@nypost)
The Washington Post,Neutral,69,10204333,8369083,129,79103,64425026,64425026,[TikTok](https://tiktok.com/@washingtonpost)
Carlos Eduardo Espina,Left-Leaning,2,9739748,-1799540,323,30154,171103789,171103789,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
CBS Evening News,Neutral,3,8696916,-2144759,207,42014,87616639,87616639,[TikTok](https://tiktok.com/@cbseveningnews)
The White House,Right-Leaning,-5,8369355,-5832296,76,110123,93620586,93620586,[TikTok](https://www.tiktok.com/@whitehouse)
NBC 5 Chicago,Neutral,3,8333955,-679199,216,38583,57418904,57418904,[TikTok](https://www.tiktok.com/@nbcchicago)
Pink News,Left-Leaning,3,8047219,-896828,171,47060,67424039,67424039,[TikTok](https://tiktok.com/@pinknews)
NBC New York,Neutral,7,7952713,1016925,310,25654,83822152,83822152,[TikTok](https://www.tiktok.com/@nbcnewyork)
Team Trump,Right-Leaning,17,7809595,4154290,49,159379,79230102,79230102,[TikTok](https://www.tiktok.com/@teamtrump)
Reuters,Neutral,6,7625318,772383,534,14280,154732944,154732944,[TikTok](https://www.tiktok.com/@reuters)
NBC South Florida,Neutral,-10,7350848,-6699158,177,41530,102308220,102308220,[TikTok](https://www.tiktok.com/@nbcsouthflorida)
The Daily Show,Left-Leaning,-8,7038912,-4507207,121,58173,63788304,63788304,[TikTok](https://tiktok.com/@thedailyshow)
Dean Withers,Left-Leaning,55,6829147,4928274,11,620832,47836692,47836692,[TikTok](https://www.tiktok.com/@itsdeaann)
Courier,Left-Leaning,-12,6797423,-5800432,222,30619,67830800,67830800,[TikTok](https://tiktok.com/@couriernewsroom)
ABC7 Chicago,Neutral,-7,6774120,-3772550,1029,6583,96558208,96558208,[TikTok](https://www.tiktok.com/@abc7chicago)
ABC7NY,Neutral,-4,6678385,-1580770,323,20676,76746682,76746682,[TikTok](https://www.tiktok.com/@abc7ny)
Harry Sisson,Left-Leaning,6,6411938,1474067,97,66102,55467418,55467418,[TikTok](https://tiktok.com/@harryjsisson)
CBS Mornings,Neutral,2,6172758,872803,459,13448,83993346,83993346,[TikTok](https://tiktok.com/@cbsmornings)
Daily Wire,Right-Leaning,103,6021922,5022070,29,207652,41139520,41139520,[TikTok](https://tiktok.com/@dailywire)
Johnny Palmadessa,Left-Leaning,20,5792738,2996021,87,66583,52926454,52926454,[TikTok](https://tiktok.com/@johnnypalmadessa)
