entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Brad Doggett,Left-Leaning,-60,520106,-303521,11,47282,2667450,2667450,[TikTok](https://www.tiktok.com/@brad.doggett)
Cody Dahler,Left-Leaning,-2,512355,47497,11,46578,3589756,3589756,[TikTok](https://www.tiktok.com/@mrcodydahler)
Abdalkarim,Neutral,92,496685,299525,25,19867,1006028,1006028,[TikTok](https://www.tiktok.com/@heyitsmeagainguys)
AngryMaleVet,Left-Leaning,-37,492822,-182547,142,3471,3363119,3363119,[TikTok](https://www.tiktok.com/@angrymalevet)
WCCO CBS News Minnesota,Neutral,-54,492419,-264027,142,3468,5843973,5843973,[TikTok](https://www.tiktok.com/@wcconews)
Pullups Pasta Politics,Left-Leaning,10,488024,74372,115,4244,3271357,3271357,[TikTok](https://www.tiktok.com/@pullupspastapolitics)
The Woke Ginger,Left-Leaning,159,487512,367468,103,4733,3618502,3618502,[TikTok](https://tiktok.com/@thewokeginger)
Yahoo News,Neutral,1,486299,56316,27,18011,7439772,7439772,[TikTok](https://www.tiktok.com/@yahoonews)
The Free Press,Right-Leaning,83,485392,286688,23,21104,4798166,4798166,[TikTok](https://www.tiktok.com/@the.free.press)
Turning Point USA,Right-Leaning,-77,482736,-475743,33,14628,6255656,6255656,[TikTok](https://www.tiktok.com/@turningpointusaofficial)
Amanda Tietz,Left-Leaning,-112,476128,-992105,28,17005,2742608,2742608,[TikTok](https://www.tiktok.com/@pottymouthpollyanna)
Nigel Farage,Right-Leaning,52,453830,192108,19,23886,5672497,5672497,[TikTok](https://www.tiktok.com/@nigel_farage)
The Speaker Is Weird,Left-Leaning,-11,452761,4572,31,14605,1448464,1448464,[TikTok](https://www.tiktok.com/@thespeakerisweird)
Austin (millennial_elder),Left-Leaning,169,442471,337375,39,11345,2477196,2477196,[TikTok](https://www.tiktok.com/@millennial.elder)
Bloomberg Business,Neutral,-21,441729,-38307,152,2906,9862203,9862203,[TikTok](https://www.tiktok.com/@bloombergbusiness)
HearMeOutOnThis,Left-Leaning,-38,440811,-184334,139,3171,3390591,3390591,[TikTok](https://www.tiktok.com/@realprogressive11)
Bisan  Owda,Left-Leaning,,435107,,3,145036,2066117,2066117,[TikTok](https://www.tiktok.com/@wizard_bisan1)
HuffPost,Left-Leaning,-69,430279,-331852,28,15367,4815016,4815016,[TikTok](https://www.tiktok.com/@huffpost)
Matt & Justus,Left-Leaning,-115,428781,-982036,11,38980,4278875,4278875,[TikTok](https://www.tiktok.com/@mattandjustusofficial)
Johnpaulkingusa,Right-Leaning,-23,400844,-69019,296,1354,4386466,4386466,[TikTok](https://www.tiktok.com/@johnpaulkingusa)
Barrett Adair,Left-Leaning,161,394088,288974,26,15157,1742726,1742726,[TikTok](https://www.tiktok.com/@barrett.adair?)
Taterbanditnews,Right-Leaning,41,393932,132003,52,7576,1947589,1947589,[TikTok](https://www.tiktok.com/@sassholehitman)
Charles Booker,Left-Leaning,386,391732,377357,22,17806,1809228,1809228,[TikTok](https://tiktok.com/@booker4ky)
Zeteo,Left-Leaning,-94,376287,-595695,146,2577,3769145,3769145,[TikTok](https://www.tiktok.com/@zeteonews)
Bernie Sanders,Left-Leaning,-50,375298,-265960,83,4522,4194366,4194366,"[TikTok](https://www.tiktok.com/@bernie), [TikTok](https://www.tiktok.com/@sensanders)"
James Ray,Left-Leaning,17,373463,59338,35,10670,1757303,1757303,[TikTok](https://tiktok.com/@jamesgetspolitical)
James Ray (jamesgetpolitical),Left-Leaning,17,373463,59338,35,10670,1757303,1757303,[TikTok](https://www.tiktok.com/@jamesgetspolitical)
Dr. Tommy Martin,Neutral,57,370439,161676,103,3596,5589593,5589593,[TikTok](https://www.tiktok.com/@dr.tommymartin)
The Krassensteins,Left-Leaning,-72,366839,-368994,147,2496,5104085,5104085,[TikTok](https://www.tiktok.com/@krassenstein)
Fox 13 Seattle,Neutral,25,361229,75294,87,4152,4294158,4294158,[TikTok](https://www.tiktok.com/@fox13seattle)
Abdul El-Sayed,Left-Leaning,77,357010,172800,77,4636,1940520,1940520,[TikTok](https://www.tiktok.com/@abdulelsayed)
Ohhh That’s Rich,Left-Leaning,-59,353592,-294224,34,10400,1943485,1943485,[TikTok](https://www.tiktok.com/@ohhthatsrich)
Brenna Pérez,Left-Leaning,-93,351554,-472303,32,10986,2709910,2709910,[TikTok](https://www.tiktok.com/@perezbrenna)
Randy Blue Dad,Left-Leaning,330,348779,327193,23,15164,3373486,3373486,[TikTok](https://www.tiktok.com/@randybluedad)
Millennial Mia,Left-Leaning,-27,344815,-87833,118,2922,3727210,3727210,[TikTok](https://www.tiktok.com/@millennial.mia)
BreakThrough News,Left-Leaning,50,341485,133878,114,2995,2068727,2068727,[TikTok](https://www.tiktok.com/@btnewsroom)
Chrissy Clark,Right-Leaning,316,340694,316962,22,15486,3278325,3278325,"[TikTok](https://www.tiktok.com/@chrissyclark_), [TikTok](https://www.tiktok.com/@thechrissyclark_)"
Human Rights Campaign,Left-Leaning,-1,339708,14169,39,8710,1493127,1493127,[TikTok](https://tiktok.com/@humanrightscampaign)
Moon Media,Neutral,26,329422,68667,68,4844,4611062,4611062,[TikTok](https://www.tiktok.com/@moonmedia.pro)
Parker Sedgwick,Left-Leaning,72,329106,147788,25,13164,4064042,4064042,[TikTok](https://www.tiktok.com/@parkergetajob)
WTHR Indianapolis,Neutral,21,327649,64091,332,987,4152986,4152986,[TikTok](https://www.tiktok.com/@wthrcom)
Maggie Reed,Left-Leaning,-38,326286,-119034,79,4130,1425122,1425122,[TikTok](https://tiktok.com/@mermaidmamamaggie)
Sara Jacobs,Left-Leaning,-158,320806,-1555019,16,20050,1747319,1747319,[TikTok](https://www.tiktok.com/@repsarajacobs)
ClerPatriot,Right-Leaning,517,317249,314067,47,6750,4314131,4314131,[TikTok](https://www.tiktok.com/@clerpatriot)
No Nonsense Spirituality,Left-Leaning,46,313901,114789,30,10463,1947741,1947741,[TikTok](https://www.tiktok.com/@nononsensespirituality)
Just Peachy (patrioticpeach),Right-Leaning,26,313180,63877,28,11185,1913897,1913897,[TikTok](https://www.tiktok.com/@politipeach)
Casey Mama Sissie,Left-Leaning,203,312060,262882,34,9178,2172443,2172443,[TikTok](https://tiktok.com/@mamasissiesays)
Koch Head,Left-Leaning,-124,310284,-725532,39,7956,1658215,1658215,[TikTok](https://tiktok.com/@kochead)
Zach Foust,Neutral,159,306075,233343,26,11772,1590097,1590097,[TikTok](https://www.tiktok.com/@zacharyloft)
Last Week Tonight with John Oliver,Left-Leaning,88,305610,154744,13,23508,3225369,3225369,[TikTok](https://tiktok.com/@lastweektonighthbo)
Alexis Rose Hinkley - Traveling Nurse,Left-Leaning,81,304187,151150,41,7419,2431860,2431860,[TikTok](https://www.tiktok.com/@travelingnurse)
The Economist,Neutral,-71,303168,-283257,30,10106,4352709,4352709,[TikTok](https://www.tiktok.com/@theeconomist)
Pissed Magistus,Left-Leaning,5,302654,29398,23,13159,2038340,2038340,[TikTok](https://www.tiktok.com/@pissedmagistus)
