entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,96906423,12661347,632,153333,1469770396,1469770396,[TikTok](https://www.tiktok.com/@dailymail)
LatinUS,Neutral,0,75954769,-6430124,995,76336,1196078441,1196078441,[TikTok](https://www.tiktok.com/@latinus_us)
ABC News,Neutral,6,58546433,23590461,444,131861,758588939,758588939,[TikTok](https://www.tiktok.com/@abcnews)
CNN,Neutral,0,47437367,6432305,576,82357,669352986,669352986,[TikTok](https://tiktok.com/@cnn)
CBS News,Neutral,-2,37949756,-8747670,525,72285,635532487,635532487,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
NBC News,Neutral,5,36230057,1769960,473,76596,521628267,521628267,[TikTok](https://tiktok.com/@nbcnews)
BBC News,Neutral,7,35337732,8113381,558,63329,600496196,600496196,[TikTok](https://www.tiktok.com/@bbcnews)
Fox News,Right-Leaning,9,34574200,13692425,988,34994,650735836,650735836,[TikTok](https://tiktok.com/@foxnews)
NY Post,Right-Leaning,-2,27053943,-10735069,504,53678,460699862,460699862,[TikTok](https://www.tiktok.com/@nypost)
Aaron Parnas,Left-Leaning,-5,27002644,-11790576,322,83859,210795899,210795899,[TikTok](https://tiktok.com/@aaronparnas1)
The Democrats,Left-Leaning,-1,23812428,-10904860,74,321790,151734795,151734795,[TikTok](https://tiktok.com/@democrats)
Dylan Page,Neutral,0,23450371,-6787313,36,651399,222108440,222108440,[TikTok](https://www.tiktok.com/@dylan.page)
NowThis,Left-Leaning,-7,21955710,-16639084,143,153536,200462235,200462235,[TikTok](https://www.tiktok.com/@nowthisimpact)
Metro,Neutral,9,20220750,6814262,145,139453,299912392,299912392,[TikTok](https://tiktok.com/@metrouk)
Al Jazeera English,Neutral,-2,19977343,-8582774,482,41447,302660134,302660134,[TikTok](https://tiktok.com/@aljazeeraenglish)
The White House,Right-Leaning,2,19883341,4049217,64,310677,209036516,209036516,[TikTok](https://www.tiktok.com/@whitehouse)
Reuters,Neutral,13,18681769,8631393,381,49034,374091057,374091057,[TikTok](https://www.tiktok.com/@reuters)
