entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
The Meteor,Left-Leaning,96,222,143,3,74,1866,1866,[TikTok](https://tiktok.com/@wearethemeteor)
March For Our Lives,Left-Leaning,49,219,-168,4,55,2806,2806,[TikTok](https://tiktok.com/@amarch4ourlives)
Brian Baez,Left-Leaning,-266,202,-307315,1,202,942,942,[TikTok](https://www.tiktok.com/@mentallydivine)
ClerPatriot,Right-Leaning,,192,,1,192,1450,1450,[TikTok](https://www.tiktok.com/@clerpatriot)
npwf,Left-Leaning,37,180,-335,2,90,1816,1816,[TikTok](https://tiktok.com/@npwf)
Brittany Packnett Cunningham,Left-Leaning,39,171,-317,1,171,1096,1096,[TikTok](https://www.tiktok.com/@mspackyetti)
All-In Podcast,Right-Leaning,99,156,101,1,156,4035,4035,[TikTok](https://www.tiktok.com/@theallinpod)
Zoe Stoller,Neutral,53,155,-125,4,39,3256,3256,[TikTok](https://tiktok.com/@Zoestoller)
Clout News,Right-Leaning,,151,,1,151,2357,2357,[TikTok](https://www.tiktok.com/@cloutnews)
Tono Latino - Sylvia Salazar,Left-Leaning,-113,143,-16459,2,72,866,866,[TikTok](https://tiktok.com/@tono.latino)
Stand Up America,Left-Leaning,-219,130,-125071,3,43,4331,4331,[TikTok](https://tiktok.com/@standup.america)
GLAAD,Left-Leaning,-15,123,-1352,2,62,1575,1575,[TikTok](https://tiktok.com/@glaad)
Total Hypocrisy,Left-Leaning,,110,,1,110,537,537,[TikTok](https://www.tiktok.com/@totalhypocrisy)
Democratic Legislative Campaign Committee - DLCC,Left-Leaning,75,107,-1,1,107,651,651,[TikTok](https://tiktok.com/@dlcc)
Myranda Kazos Sievers,Left-Leaning,39,99,-247,3,33,1254,1254,[TikTok](https://www.tiktok.com/@myrandapolisci)
She Builds Bro,Neutral,-31,94,-1888,1,94,1377,1377,[TikTok](https://tiktok.com/@shebuildsbro_)
Debra Messing,Left-Leaning,,68,,1,68,2827,2827,[TikTok](https://tiktok.com/@therealdebramessing)
National Women's Law Center (NWLC),Left-Leaning,50,63,-180,2,32,1064,1064,[TikTok](https://tiktok.com/@nationalwomenslawcenter)
Emily Amick - Emily In Your Phone,Left-Leaning,5,56,-728,2,28,886,886,[TikTok](https://tiktok.com/@emilyinyourphone)
Anton Daniels,Right-Leaning,,49,,1,49,349,349,[TikTok](https://www.tiktok.com/@1antondaniels)
Sam The Conservative,Right-Leaning,0,44,-759,3,15,2530,2530,[TikTok](https://tiktok.com/@samtheconservative)
Alex Silva,Left-Leaning,38,43,-248,1,43,424,424,[TikTok](https://tiktok.com/@ecofreako)
Old School Republicans,Right-Leaning,-122,43,-15113,2,22,584,584,[TikTok](https://tiktok.com/@oldschoolrepubs)
Kay,Right-Leaning,-37,42,-1894,1,42,417,417,[TikTok](https://www.tiktok.com/@kayleighhhlynnnn)
Young Invincibles,Left-Leaning,63,36,-77,2,18,649,649,[TikTok](https://tiktok.com/@younginvincibles)
Climate Power,Left-Leaning,-67,30,-3608,1,30,939,939,[TikTok](https://tiktok.com/@climatepower)
NYS AFL-CIO,Neutral,69,29,-51,1,29,771,771,[TikTok](https://tiktok.com/@nysaflcio)
Emergency Workplace Organizing Committee,Left-Leaning,,5,,1,5,24,24,[TikTok](https://www.tiktok.com/@organizeworkers)
Congressional Progressive Caucus Center,Left-Leaning,,2,,1,2,40,40,[TikTok](https://tiktok.com/@progressivecaucuscenter)
