entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,86033756,-44280711,719,119658,1472639012,1472639012,[TikTok](https://www.tiktok.com/@dailymail)
Aaron Parnas,Left-Leaning,0,37544273,-1474416,289,129911,278529383,278529383,[TikTok](https://tiktok.com/@aaronparnas1)
NBC News,Neutral,4,30737905,4863248,553,55584,410498721,410498721,[TikTok](https://tiktok.com/@nbcnews)
Metro,Neutral,43,24336140,22376863,334,72863,360937560,360937560,[TikTok](https://tiktok.com/@metrouk)
MS NOW,Left-Leaning,-2,24021192,-7930732,382,62883,282772066,282772066,[TikTok](https://www.tiktok.com/@msnow)
Courier,Left-Leaning,-2,23749151,-4301014,201,118155,189578424,189578424,[TikTok](https://tiktok.com/@couriernewsroom)
Carlos Eduardo Espina,Left-Leaning,-1,22502769,-4321124,471,47777,403030131,403030131,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
NowThis,Left-Leaning,2,18768942,2422563,266,70560,162144780,162144780,[TikTok](https://www.tiktok.com/@nowthisimpact)
CBS News,Neutral,-4,18036364,-8853486,544,33155,273290576,273290576,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
ABC News,Neutral,-1,17167938,208016,393,43684,262259436,262259436,[TikTok](https://www.tiktok.com/@abcnews)
CNN,Neutral,-3,16407529,-6920135,441,37205,233437728,233437728,[TikTok](https://tiktok.com/@cnn)
BBC News,Neutral,-1,16365198,1990823,397,41222,263241418,263241418,[TikTok](https://www.tiktok.com/@bbcnews)
Fox News,Right-Leaning,6,13924093,6427000,462,30139,238450544,238450544,[TikTok](https://tiktok.com/@foxnews)
Charlie Kirk,Right-Leaning,0,11763949,1092083,103,114213,140934660,140934660,[TikTok](https://www.tiktok.com/@thecharliekirkshow)
Brut America,Neutral,5,11262496,4088041,336,33519,146184942,146184942,[TikTok](https://tiktok.com/@brutamerica)
Al Jazeera English,Neutral,-3,11206820,-2003075,379,29569,142512017,142512017,[TikTok](https://tiktok.com/@aljazeeraenglish)
NY Post,Right-Leaning,-5,11044575,-2310861,578,19108,209629544,209629544,[TikTok](https://www.tiktok.com/@nypost)
Pink News,Left-Leaning,22,9611644,7192958,200,48058,84621823,84621823,[TikTok](https://tiktok.com/@pinknews)
MeidasTouch,Left-Leaning,-1,9194885,124321,176,52244,50752854,50752854,[TikTok](https://tiktok.com/@meidastouch)
The Daily Show,Left-Leaning,-5,8077779,-1187098,117,69041,71333544,71333544,[TikTok](https://tiktok.com/@thedailyshow)
Dylan Page,Neutral,44,8056513,6759431,17,473913,81654816,81654816,[TikTok](https://www.tiktok.com/@dylan.page)
TizzyEnt,Left-Leaning,14,6824377,4192533,69,98904,57876344,57876344,[TikTok](https://tiktok.com/@tizzyent)
CBS Mornings,Neutral,39,6285086,4904895,440,14284,107941666,107941666,[TikTok](https://tiktok.com/@cbsmornings)
Lisandra Vazquez,Left-Leaning,70,5380888,4741757,92,58488,34258475,34258475,[TikTok](https://tiktok.com/@lisandravcomedy)
Philip DeFranco,Left-Leaning,-1,4897567,466634,30,163252,34941064,34941064,[TikTok](https://www.tiktok.com/@philipdefranco)
Under the Desk News,Left-Leaning,2,4801331,864731,61,78710,23719898,23719898,[TikTok](https://tiktok.com/@underthedesknews)
Cory Booker,Left-Leaning,23,4477336,2667650,81,55276,22330970,22330970,"[TikTok](https://tiktok.com/@corybooker), [TikTok](https://www.tiktok.com/@senbooker)"
Univision Noticias,Neutral,4,4385237,1034318,187,23450,122072568,122072568,[TikTok](https://www.tiktok.com/@uninoticias)
Newsweek,Neutral,-2,4073569,13673,268,15200,85582251,85582251,[TikTok](https://tiktok.com/@newsweek)
Reuters,Neutral,46,3916679,2955012,233,16810,75461815,75461815,[TikTok](https://www.tiktok.com/@reuters)
CBS Evening News,Neutral,86,3894907,3452822,117,33290,35031594,35031594,[TikTok](https://tiktok.com/@cbseveningnews)
David Pakman Show,Left-Leaning,11,3737342,1434724,169,22114,37808816,37808816,[TikTok](https://tiktok.com/@davidpakmanshow)
Dannie D,Left-Leaning,4,3665638,1084194,208,17623,18877044,18877044,[TikTok](https://tiktok.com/@dannied01)
Lisa Remillard,Neutral,0,3629280,930714,41,88519,36361666,36361666,[TikTok](https://tiktok.com/@lisaremillard)
Team Trump,Right-Leaning,-19,3481987,-5716066,61,57082,37878055,37878055,[TikTok](https://www.tiktok.com/@teamtrump)
ABC World News Tonight,Neutral,-11,3467863,-817169,148,23432,66659650,66659650,[TikTok](https://www.tiktok.com/@abcworldnews)
Dean Withers,Left-Leaning,35,3464745,2389282,6,577458,25441510,25441510,[TikTok](https://www.tiktok.com/@itsdeaann)
AJ+,Left-Leaning,0,3027913,519005,88,34408,23171596,23171596,[TikTok](https://www.tiktok.com/@ajplus)
Benjamín Zamora,Neutral,-8,2968303,-660558,121,24531,66984378,66984378,[TikTok](https://tiktok.com/@benjaminzamoratv)
Brian Tyler Cohen,Left-Leaning,-18,2854875,-2885150,104,27451,25946740,25946740,[TikTok](https://tiktok.com/@briantylercohen)
Alex Pearlman,Left-Leaning,-15,2689677,-1520202,18,149427,14920797,14920797,[TikTok](https://tiktok.com/@pearlmania500)
Sky News,Neutral,-21,2630054,-4060570,513,5127,60769611,60769611,[TikTok](https://tiktok.com/@skynews)
Harry Sisson,Left-Leaning,-4,2434775,-54378,136,17903,17500031,17500031,[TikTok](https://tiktok.com/@harryjsisson)
The Late Show with Stephen Colbert,Left-Leaning,-27,2385753,-6694132,76,31391,22443192,22443192,[TikTok](https://www.tiktok.com/@colbertlateshow)
Gavin Newsom,Left-Leaning,96,2282142,1969946,49,46574,14214344,14214344,"[TikTok](https://www.tiktok.com/@cagovernor), [TikTok](https://www.tiktok.com/@gavinnewsom)"
Candace Owens,Right-Leaning,38,2249886,1491456,53,42451,24640386,24640386,[TikTok](https://www.tiktok.com/@candaceoshow)
LiveNOW from FOX,Right-Leaning,-2,2180186,106857,145,15036,56407154,56407154,[TikTok](https://tiktok.com/@livenowfox)
Politico Mexico,Neutral,-25,2176425,-2779390,418,5207,37688561,37688561,[TikTok](https://tiktok.com/@politicomx)
Bloomberg Politics,Neutral,39,2169936,1477364,127,17086,53826892,53826892,[TikTok](https://tiktok.com/@bloombergpolitics)
Tell Williams,Left-Leaning,159,2148463,2046828,60,35808,12459211,12459211,[TikTok](https://www.tiktok.com/@mrwilliamsprek)
Marcus DiPaola,Neutral,-3,2015904,135036,57,35367,12609601,12609601,[TikTok](https://tiktok.com/@marcus.dipaola)
