entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,259433140,25897892,1006,257886,4881085526,4881085526,[TikTok](https://www.tiktok.com/@dailymail)
Team Trump,Right-Leaning,2,92147135,56606224,233,395481,883825891,883825891,[TikTok](https://www.tiktok.com/@teamtrump)
Headquarters,Left-Leaning,-1,78130148,28545502,373,209464,532892122,532892122,[TikTok](https://www.tiktok.com/@headquarters)
MS NOW,Left-Leaning,-1,56785731,20419593,352,161323,764090846,764090846,[TikTok](https://www.tiktok.com/@msnow)
CBS News,Neutral,0,54420094,23999351,477,114088,882522119,882522119,"[TikTok](https://www.tiktok.com/@cbs), [TikTok](https://tiktok.com/@cbsnews)"
ABC News,Neutral,0,42881685,13627811,355,120793,635286891,635286891,[TikTok](https://www.tiktok.com/@abcnews)
Al Jazeera English,Neutral,9,30327568,20254925,292,103862,390846449,390846449,[TikTok](https://tiktok.com/@aljazeeraenglish)
Courier,Left-Leaning,6,28645544,14592192,655,43734,238732337,238732337,[TikTok](https://tiktok.com/@couriernewsroom)
BBC News,Neutral,9,27699333,18469098,427,64870,516888394,516888394,[TikTok](https://www.tiktok.com/@bbcnews)
Kamala Harris,Left-Leaning,9,26416968,17250350,126,209658,201747050,201747050,[TikTok](https://www.tiktok.com/@kamalaharris)
CNN,Neutral,-3,25288521,3151444,338,74818,459202689,459202689,[TikTok](https://tiktok.com/@cnn)
Charlie Kirk,Right-Leaning,0,24097751,6140211,72,334691,265771660,265771660,[TikTok](https://www.tiktok.com/@thecharliekirkshow)
Carlos Eduardo Espina,Left-Leaning,-6,23895885,1617759,270,88503,351222279,351222279,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
NowThis,Left-Leaning,-5,22174924,585148,337,65801,189865577,189865577,[TikTok](https://www.tiktok.com/@nowthisimpact)
NBC News,Neutral,-2,21477912,6933564,272,78963,323582135,323582135,[TikTok](https://tiktok.com/@nbcnews)
Donald Trump,Right-Leaning,-5,20669153,2380357,21,984245,168724776,168724776,[TikTok](https://www.tiktok.com/@realdonaldtrump)
The Daily Show,Left-Leaning,-7,13596544,-5660723,135,100715,119857804,119857804,[TikTok](https://tiktok.com/@thedailyshow)
The Democrats,Left-Leaning,10,10647913,5975428,216,49296,68919420,68919420,[TikTok](https://tiktok.com/@democrats)
Politico Mexico,Neutral,2,9562367,1486604,678,14104,128375110,128375110,[TikTok](https://tiktok.com/@politicomx)
The Late Show with Stephen Colbert,Left-Leaning,-3,9394490,-92319,108,86986,79384214,79384214,[TikTok](https://www.tiktok.com/@colbertlateshow)
NY Post,Right-Leaning,4,8732330,2006869,420,20791,154736563,154736563,[TikTok](https://www.tiktok.com/@nypost)
LiveNOW from FOX,Right-Leaning,338,7966429,7956843,22,362110,99550000,99550000,[TikTok](https://tiktok.com/@livenowfox)
AJ+,Left-Leaning,-1,7591648,-11983,117,64886,55466014,55466014,[TikTok](https://www.tiktok.com/@ajplus)
Aaron Parnas,Left-Leaning,12,6764387,3073431,158,42813,47900803,47900803,[TikTok](https://tiktok.com/@aaronparnas1)
Sky News,Neutral,-1,6313370,-992791,815,7746,185736426,185736426,[TikTok](https://tiktok.com/@skynews)
Walter Masterson,Left-Leaning,4,6202317,1636337,53,117025,35325464,35325464,[TikTok](https://www.tiktok.com/@waltermasterson)
Tim Walz,Left-Leaning,0,6134947,884136,53,115754,33420117,33420117,[TikTok](https://www.tiktok.com/@timwalz)
MeidasTouch,Left-Leaning,-2,5921099,-180896,165,35885,42407587,42407587,[TikTok](https://tiktok.com/@meidastouch)
Fox News,Right-Leaning,165,4710341,4531587,18,261686,70460190,70460190,[TikTok](https://tiktok.com/@foxnews)
Dean Withers,Left-Leaning,-7,4530458,-2948720,11,411860,30486179,30486179,[TikTok](https://www.tiktok.com/@itsdeaann)
Benjamín Zamora,Neutral,0,4463656,-6475,132,33816,90455720,90455720,[TikTok](https://tiktok.com/@benjaminzamoratv)
TizzyEnt,Left-Leaning,19,4340638,2022809,68,63833,35145883,35145883,[TikTok](https://tiktok.com/@tizzyent)
Harry Sisson,Left-Leaning,-1,4210225,-255289,134,31420,29444583,29444583,[TikTok](https://tiktok.com/@harryjsisson)
Josh Helfgott,Left-Leaning,14,4162831,1656649,45,92507,49273263,49273263,[TikTok](https://tiktok.com/@joshhelfgott)
The New York Times,Neutral,15,4148008,1794317,119,34857,51478508,51478508,[TikTok](https://tiktok.com/@nytimes)
Dash Dobrofsky,Left-Leaning,5,3726958,703414,95,39231,21637403,21637403,[TikTok](https://www.tiktok.com/@dashdobrofsky)
Link Lauren,Right-Leaning,15,3561774,1302570,22,161899,19868362,19868362,[TikTok](https://tiktok.com/@itslinklauren)
Clips of Kamala,Left-Leaning,-18,3368128,-5517787,51,66042,19529768,19529768,[TikTok](https://www.tiktok.com/@clipsofkamala)
Megyn Kelly,Right-Leaning,1,3354946,320584,115,29173,36853086,36853086,[TikTok](https://www.tiktok.com/@megynkellyshow)
The Good Liars,Left-Leaning,2,3240217,331451,31,104523,29730410,29730410,[TikTok](https://tiktok.com/@thegoodliars)
Philip DeFranco,Left-Leaning,24,3162707,1691193,38,83229,24477208,24477208,[TikTok](https://www.tiktok.com/@philipdefranco)
Under the Desk News,Left-Leaning,2,3004802,169282,80,37560,16638725,16638725,[TikTok](https://tiktok.com/@underthedesknews)
