entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,130314467,-11011024,1019,127885,2456136993,2456136993,[TikTok](https://www.tiktok.com/@dailymail)
Aaron Parnas,Left-Leaning,0,39018689,-5130188,321,121554,310972852,310972852,[TikTok](https://tiktok.com/@aaronparnas1)
MS NOW,Left-Leaning,3,31951924,4870461,385,82992,440051666,440051666,[TikTok](https://www.tiktok.com/@msnow)
Courier,Left-Leaning,5,28050165,3707049,234,119873,263696330,263696330,[TikTok](https://tiktok.com/@couriernewsroom)
CBS News,Neutral,-1,26889850,-12481444,546,49249,422100086,422100086,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
Carlos Eduardo Espina,Left-Leaning,-3,26823893,-15487636,417,64326,436661504,436661504,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
NBC News,Neutral,-2,25874657,-8845965,496,52167,406544971,406544971,[TikTok](https://tiktok.com/@nbcnews)
CNN,Neutral,0,23327664,-1999826,322,72446,299888846,299888846,[TikTok](https://tiktok.com/@cnn)
ABC News,Neutral,-2,16959922,-9176785,339,50029,245880102,245880102,[TikTok](https://www.tiktok.com/@abcnews)
NowThis,Left-Leaning,1,16346379,-1639045,156,104784,116949219,116949219,[TikTok](https://www.tiktok.com/@nowthisimpact)
BBC News,Neutral,-1,14374375,-7693318,501,28691,239259680,239259680,[TikTok](https://www.tiktok.com/@bbcnews)
NY Post,Right-Leaning,0,13355436,-3793167,525,25439,242693622,242693622,[TikTok](https://www.tiktok.com/@nypost)
Al Jazeera English,Neutral,11,13209895,8066972,364,36291,162948943,162948943,[TikTok](https://tiktok.com/@aljazeeraenglish)
Charlie Kirk,Right-Leaning,11,10671866,5693770,113,94441,121761601,121761601,[TikTok](https://www.tiktok.com/@thecharliekirkshow)
The Daily Show,Left-Leaning,-1,9264877,-2622351,117,79187,76084664,76084664,[TikTok](https://tiktok.com/@thedailyshow)
Team Trump,Right-Leaning,198,9198053,9085775,48,191626,106927783,106927783,[TikTok](https://www.tiktok.com/@teamtrump)
The Late Show with Stephen Colbert,Left-Leaning,12,9079885,4687903,68,133528,59174841,59174841,[TikTok](https://www.tiktok.com/@colbertlateshow)
MeidasTouch,Left-Leaning,-5,9070564,-5408451,201,45127,61621757,61621757,[TikTok](https://tiktok.com/@meidastouch)
Fox News,Right-Leaning,13,7497093,4348780,180,41651,128319517,128319517,[TikTok](https://tiktok.com/@foxnews)
Brut America,Neutral,-2,7174455,922105,369,19443,104841173,104841173,[TikTok](https://tiktok.com/@brutamerica)
Sky News,Neutral,0,6690624,1016919,682,9810,128748086,128748086,[TikTok](https://tiktok.com/@skynews)
Brian Tyler Cohen,Left-Leaning,8,5740025,1505829,140,41000,50846294,50846294,[TikTok](https://tiktok.com/@briantylercohen)
Politico Mexico,Neutral,-7,4955815,-2208524,579,8559,92116166,92116166,[TikTok](https://tiktok.com/@politicomx)
Philip DeFranco,Left-Leaning,27,4430933,2722142,34,130322,30412661,30412661,[TikTok](https://www.tiktok.com/@philipdefranco)
ABC World News Tonight,Neutral,-6,4285032,-1815607,159,26950,84575400,84575400,[TikTok](https://www.tiktok.com/@abcworldnews)
Alex Pearlman,Left-Leaning,50,4209879,3177760,14,300706,18453438,18453438,[TikTok](https://tiktok.com/@pearlmania500)
Newsweek,Neutral,-10,4059896,-2426215,369,11002,84972205,84972205,[TikTok](https://tiktok.com/@newsweek)
Under the Desk News,Left-Leaning,-2,3936600,-906056,75,52488,21419085,21419085,[TikTok](https://tiktok.com/@underthedesknews)
The Democrats,Left-Leaning,-6,3820503,-1623996,34,112368,27561223,27561223,[TikTok](https://tiktok.com/@democrats)
Josh Helfgott,Left-Leaning,4,3715098,754990,20,185755,22579371,22579371,[TikTok](https://tiktok.com/@joshhelfgott)
Benjamín Zamora,Neutral,-4,3628861,-998831,129,28131,80018939,80018939,[TikTok](https://tiktok.com/@benjaminzamoratv)
Univision Noticias,Neutral,-4,3350919,-1066562,170,19711,105570362,105570362,[TikTok](https://www.tiktok.com/@uninoticias)
D.A.R.Y.L.2.0,Left-Leaning,139,3303154,3098670,124,26638,19050200,19050200,[TikTok](https://tiktok.com/@d.a.r.y.l.2.0)
Lisa Remillard,Neutral,47,2698566,1767091,40,67464,26915058,26915058,[TikTok](https://tiktok.com/@lisaremillard)
The New York Times,Neutral,23,2662483,1277944,140,19018,32108898,32108898,[TikTok](https://tiktok.com/@nytimes)
TizzyEnt,Left-Leaning,-21,2631844,-7514640,64,41123,17424621,17424621,[TikTok](https://tiktok.com/@tizzyent)
Dannie D,Left-Leaning,341,2581444,2576538,143,18052,13927187,13927187,[TikTok](https://tiktok.com/@dannied01)
AJ+,Left-Leaning,-1,2508908,56454,82,30596,17722830,17722830,[TikTok](https://www.tiktok.com/@ajplus)
Harry Sisson,Left-Leaning,-19,2489153,-3248974,83,29990,19175766,19175766,[TikTok](https://tiktok.com/@harryjsisson)
Pink News,Left-Leaning,347,2418686,2414792,78,31009,17867617,17867617,[TikTok](https://tiktok.com/@pinknews)
Democratic Governors Association (DGA),Left-Leaning,3,2330371,255668,54,43155,13068079,13068079,[TikTok](https://tiktok.com/@demgovs)
