entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Stand Up America,Left-Leaning,232,57549,50391,29,1984,386940,386940,[TikTok](https://tiktok.com/@standup.america)
ecofran,Left-Leaning,-81,57400,-72393,14,4100,400435,400435,[TikTok](https://tiktok.com/@ecofran)
Kamala Harris,Left-Leaning,-310,56885,-1278418,2,28443,856463,856463,[TikTok](https://www.tiktok.com/@kamalaharris)
Garrison Hayes,Left-Leaning,106,56638,31621,2,28319,299069,299069,[TikTok](https://www.tiktok.com/@garrisonhayes)
Cheyenne Hunt,Left-Leaning,22,56565,3113,15,3771,409322,409322,[TikTok](https://www.tiktok.com/@cheyennehuntca)
The Kansas City Star,Neutral,1,56396,-6192,39,1446,815380,815380,[TikTok](https://www.tiktok.com/@thekansascitystar)
Graham Platner,Left-Leaning,54,55572,14982,44,1263,450637,450637,[TikTok](https://www.tiktok.com/@grahamformaine)
The Good Liars,Left-Leaning,164,54896,41180,2,27448,406215,406215,[TikTok](https://tiktok.com/@thegoodliars)
Magnolia Voices,Left-Leaning,,54199,,37,1465,449401,449401,[TikTok](https://www.tiktok.com/@magnolia.voices)
Zak Kimball,Left-Leaning,-72,54011,-60993,8,6751,309888,309888,[TikTok](https://www.tiktok.com/@zak.kimball)
Michael Liner,Neutral,-7,53583,-11710,45,1191,1001359,1001359,[TikTok](https://tiktok.com/@backwardshatbarrister)
Tiffany Fanae Butler,Right-Leaning,48,52174,11345,20,2609,190643,190643,[TikTok](https://www.tiktok.com/@thatsme_tiffany)
Jess Piper,Left-Leaning,34,52071,5272,40,1302,234198,234198,[TikTok](https://tiktok.com/@jesspipermo)
Bill Maher,Neutral,143,51969,36497,6,8662,1288810,1288810,[TikTok](https://www.tiktok.com/@billmaher)
Kenny Walden - 2rawtooreal,Left-Leaning,-16,51954,-17895,17,3056,213559,213559,[TikTok](https://www.tiktok.com/@2rawtooreal2)
Matt Walsh,Right-Leaning,-42,51947,-33173,34,1528,646219,646219,[TikTok](https://www.tiktok.com/@mattwalsh_)
Bella Vandala,Left-Leaning,,51938,,22,2361,247906,247906,[TikTok](https://www.tiktok.com/@bella_vandala)
Heartland Signal,Left-Leaning,236,51607,46327,41,1259,327342,327342,[TikTok](https://www.tiktok.com/@heartlandsignal)
Michael Knowles,Right-Leaning,1,51522,-3871,12,4293,615784,615784,[TikTok](https://www.tiktok.com/@notmichaelknowles)
CBS News Bay Area,Neutral,52,51009,14713,41,1244,1441755,1441755,[TikTok](https://www.tiktok.com/@kpixtv)
RaeShanda Lias,Left-Leaning,85,50783,24313,3,16928,193000,193000,[TikTok](https://www.tiktok.com/@shopaif)
ADIV,Left-Leaning,-245,50621,-466153,5,10124,312872,312872,[TikTok](https://www.tiktok.com/@adivunsolicited)
United Nations,Neutral,221,48855,43194,9,5428,1171981,1171981,[TikTok](https://www.tiktok.com/@unitednations)
John Fredericks,Right-Leaning,-22,48720,-20472,26,1874,445490,445490,[TikTok](https://www.tiktok.com/@jfradioshow)
Maxwell Frost,Left-Leaning,-125,48371,-104806,10,4837,208975,208975,"[TikTok](https://www.tiktok.com/@repmaxwellfrost), [TikTok](https://tiktok.com/@repmaxwellfrost)"
Ayanna Pressley,Left-Leaning,-192,48353,-221220,11,4396,181121,181121,[TikTok](https://www.tiktok.com/@reppressley)
The Babylon Bee,Right-Leaning,406,48150,47747,2,24075,487320,487320,[TikTok](https://tiktok.com/@babylonbee)
The Comments Section,Right-Leaning,-71,47856,-53197,19,2519,343838,343838,[TikTok](https://www.tiktok.com/@thecommentssection)
Matt Buechele,Left-Leaning,,47620,,3,15873,283590,283590,[TikTok](https://www.tiktok.com/@mattbooshell)
Kate Glavan,Left-Leaning,-131,47518,-106987,66,720,449499,449499,[TikTok](https://www.tiktok.com/@kateglavan)
Tom Morris - Stay at Home Tom,Left-Leaning,281,46864,44569,1,46864,303652,303652,[TikTok](https://www.tiktok.com/@stay.at.home.tomm)
Katherine Clark,Left-Leaning,209,46722,40580,14,3337,596426,596426,[TikTok](https://www.tiktok.com/@katherineclark)
Vice News,Left-Leaning,232,46329,41843,16,2896,645753,645753,[TikTok](https://tiktok.com/@vicenews)
Fortune Magazine,Neutral,28,46098,5996,35,1317,1005068,1005068,[TikTok](https://www.tiktok.com/@fortune)
Sam Schmir,Left-Leaning,420,45726,45453,2,22863,1392647,1392647,[TikTok](https://www.tiktok.com/@meatball)
NEWSGIRLS,Left-Leaning,147,44927,33261,64,702,522003,522003,[TikTok](https://www.tiktok.com/@newsgirls.reports)
Jake Tapper,Neutral,-19,44894,-10723,18,2494,953091,953091,[TikTok](https://www.tiktok.com/@jaketapper)
Scott Galloway,Neutral,21,44632,3782,32,1395,873763,873763,[TikTok](https://www.tiktok.com/@profgalloway)
Moon Media,Neutral,160,44370,34157,42,1056,612736,612736,[TikTok](https://www.tiktok.com/@moonmedia.pro)
The News Movement,Neutral,-262,44261,-461318,43,1029,1233850,1233850,[TikTok](https://www.tiktok.com/@thenewsmovement)
Jessica Valenti,Left-Leaning,-41,44219,-25466,12,3685,170615,170615,[TikTok](https://www.tiktok.com/@auntiekilljoy)
Rachel Cohen,Left-Leaning,-64,43569,-37791,13,3351,181824,181824,[TikTok](https://www.tiktok.com/@cohen489)
Michael Solakiewicz,Right-Leaning,40,43110,11883,56,770,1237687,1237687,[TikTok](https://www.tiktok.com/@michaelsolakiewicz)
Sunrise Movement,Left-Leaning,-5,39504,-10412,25,1580,209901,209901,[TikTok](https://tiktok.com/@sunrisemvmt)
Barrie Rose,Left-Leaning,134,39454,27109,4,9864,331931,331931,[TikTok](https://tiktok.com/@barrierose)
Kahlil Greene,Left-Leaning,-127,39439,-90770,19,2076,242968,242968,[TikTok](https://www.tiktok.com/@kahlilgreene)
D.A.R.Y.L.2.0,Left-Leaning,19,39391,1215,108,365,320757,320757,[TikTok](https://tiktok.com/@d.a.r.y.l.2.0)
Saadia Mirza,Left-Leaning,-133,39158,-93501,17,2303,478996,478996,[TikTok](https://tiktok.com/@saadia___m)
Jobob Taeleifi,Right-Leaning,-86,38599,-54139,97,398,330179,330179,[TikTok](https://tiktok.com/@thejobob)
Monte Mader,Left-Leaning,75,38531,16957,17,2267,156825,156825,[TikTok](https://www.tiktok.com/@montemader)
Gerlyn Henry,Left-Leaning,-372,38085,-1766597,17,2240,239647,239647,[TikTok](https://www.tiktok.com/@rev.gerlynhenry)
The Meteor,Left-Leaning,257,37920,35470,1,37920,186800,186800,[TikTok](https://tiktok.com/@wearethemeteor)
