entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Daily Mail,Neutral,0,84245076,-22791081,692,121741,1388026211,1388026211,[TikTok](https://www.tiktok.com/@dailymail)
LatinUS,Neutral,4,82384893,44117787,1054,78164,1394806844,1394806844,[TikTok](https://www.tiktok.com/@latinus_us)
CBS News,Neutral,0,46697426,5082093,623,74956,731971412,731971412,"[TikTok](https://tiktok.com/@cbsnews), [TikTok](https://www.tiktok.com/@cbs)"
CNN,Neutral,1,41005062,2677628,590,69500,568933808,568933808,[TikTok](https://tiktok.com/@cnn)
Aaron Parnas,Left-Leaning,4,38793220,3317311,345,112444,287544744,287544744,[TikTok](https://tiktok.com/@aaronparnas1)
NowThis,Left-Leaning,5,38594794,7341044,165,233908,379644740,379644740,[TikTok](https://www.tiktok.com/@nowthisimpact)
NY Post,Right-Leaning,5,37789012,11029271,514,73519,674422538,674422538,[TikTok](https://www.tiktok.com/@nypost)
Courier,Left-Leaning,-1,34960609,-3131494,295,118511,292675594,292675594,[TikTok](https://tiktok.com/@couriernewsroom)
ABC News,Neutral,1,34955972,-311765,354,98746,521461221,521461221,[TikTok](https://www.tiktok.com/@abcnews)
The Democrats,Left-Leaning,9,34717288,17545515,124,279978,210447788,210447788,[TikTok](https://tiktok.com/@democrats)
NBC News,Neutral,-9,34460097,-8049266,605,56959,508993092,508993092,[TikTok](https://tiktok.com/@nbcnews)
Dylan Page,Neutral,-8,30237684,-11343989,56,539959,263526280,263526280,[TikTok](https://www.tiktok.com/@dylan.page)
Al Jazeera English,Neutral,1,28560117,5865444,414,68986,368162449,368162449,[TikTok](https://tiktok.com/@aljazeeraenglish)
BBC News,Neutral,-6,27224351,-10218532,577,47183,420768343,420768343,[TikTok](https://www.tiktok.com/@bbcnews)
Brut America,Neutral,1,25794165,5048985,287,89875,354718828,354718828,[TikTok](https://tiktok.com/@brutamerica)
ABC7 LA,Neutral,-1,23145081,781388,341,67874,334948532,334948532,[TikTok](https://www.tiktok.com/@abc7la)
Fox News,Right-Leaning,-4,20881775,-5519085,1016,20553,481998721,481998721,[TikTok](https://tiktok.com/@foxnews)
The White House,Right-Leaning,13,15834124,6813001,64,247408,174528004,174528004,[TikTok](https://www.tiktok.com/@whitehouse)
The Daily Show,Left-Leaning,-1,15783492,-2871515,110,143486,128633340,128633340,[TikTok](https://tiktok.com/@thedailyshow)
MS NOW,Left-Leaning,0,15195153,-1735089,295,51509,195027576,195027576,[TikTok](https://www.tiktok.com/@msnow)
Carlos Eduardo Espina,Left-Leaning,-4,14846656,-4233681,440,33742,254456452,254456452,[TikTok](https://tiktok.com/@carlos_eduardo_espina)
CBS Mornings,Neutral,-1,13926486,-2883619,413,33720,233693570,233693570,[TikTok](https://tiktok.com/@cbsmornings)
Metro,Neutral,4,13406488,3295100,125,107252,204950455,204950455,[TikTok](https://tiktok.com/@metrouk)
ABC7 Chicago,Neutral,-1,13231009,906608,618,21409,240521162,240521162,[TikTok](https://www.tiktok.com/@abc7chicago)
60 Minutes,Neutral,19,12771513,7718936,146,87476,142399128,142399128,[TikTok](https://tiktok.com/@60minutes)
Sky News,Neutral,11,12220065,5493006,709,17236,189949382,189949382,[TikTok](https://tiktok.com/@skynews)
ABC World News Tonight,Neutral,1,10398877,315175,152,68414,186479341,186479341,[TikTok](https://www.tiktok.com/@abcworldnews)
The Independent,Neutral,-3,10286385,-1119532,319,32246,181875888,181875888,[TikTok](https://www.tiktok.com/@independent)
HuffPost,Left-Leaning,56,10202879,8156143,45,226731,75303323,75303323,[TikTok](https://www.tiktok.com/@huffpost)
Reuters,Neutral,-8,10050376,-5076052,374,26873,176270886,176270886,[TikTok](https://www.tiktok.com/@reuters)
Univision Noticias,Neutral,5,9302304,1644301,216,43066,206063924,206063924,[TikTok](https://www.tiktok.com/@uninoticias)
Team Trump,Right-Leaning,-8,8924552,-3275621,35,254987,111130953,111130953,[TikTok](https://www.tiktok.com/@teamtrump)
NBC New York,Neutral,15,8254186,3457665,95,86886,85350379,85350379,[TikTok](https://www.tiktok.com/@nbcnewyork)
Zohran Mamdani,Left-Leaning,8,7973412,2540082,38,209827,70842454,70842454,[TikTok](https://www.tiktok.com/@zohran_k_mamdani)
Spencer Spencewuah,Left-Leaning,-1,7466309,-1387878,52,143583,36077386,36077386,[TikTok](https://www.tiktok.com/@spencewuah)
Pink News,Left-Leaning,-4,6531006,-2412679,151,43252,59862938,59862938,[TikTok](https://tiktok.com/@pinknews)
LiveNOW from FOX,Right-Leaning,-7,6363908,-3227260,192,33145,142441758,142441758,[TikTok](https://tiktok.com/@livenowfox)
Gavin Newsom,Left-Leaning,-12,6026204,-4941154,44,136959,32435553,32435553,"[TikTok](https://www.tiktok.com/@gavinnewsom), [TikTok](https://www.tiktok.com/@cagovernor)"
Dean Withers,Left-Leaning,4,5791351,636693,17,340668,33610977,33610977,[TikTok](https://www.tiktok.com/@itsdeaann)
The New York Times,Neutral,-7,5646274,-3224922,190,29717,71925603,71925603,[TikTok](https://tiktok.com/@nytimes)
The Late Show with Stephen Colbert,Left-Leaning,-12,5278586,-4493759,81,65168,50824100,50824100,[TikTok](https://www.tiktok.com/@colbertlateshow)
The Associated Press (AP),Neutral,29,5223653,2486603,250,20895,64245510,64245510,[TikTok](https://tiktok.com/@apnews)
ABC News Live,Neutral,22,4981466,2127008,347,14356,66998668,66998668,[TikTok](https://tiktok.com/@abcnewslive)
NBC South Florida,Neutral,39,4947105,2823022,152,32547,76322574,76322574,[TikTok](https://www.tiktok.com/@nbcsouthflorida)
MeidasTouch,Left-Leaning,4,4630501,-84657,132,35080,31964900,31964900,[TikTok](https://tiktok.com/@meidastouch)
Politico Mexico,Neutral,47,4460225,2629540,335,13314,68486177,68486177,[TikTok](https://tiktok.com/@politicomx)
Newsweek,Neutral,5,4339214,-15694,281,15442,81152194,81152194,[TikTok](https://tiktok.com/@newsweek)
NYT Opinion,Neutral,36,4249493,2155447,26,163442,24278027,24278027,[TikTok](https://www.tiktok.com/@nytopinion)
The News Movement,Neutral,7,4116144,355844,204,20177,50159874,50159874,[TikTok](https://www.tiktok.com/@thenewsmovement)
CTVNews,Neutral,10,4076812,837111,443,9203,95319898,95319898,[TikTok](https://www.tiktok.com/@ctvnews)
Morgan,Left-Leaning,182,3951561,3641236,99,39915,19345313,19345313,[TikTok](https://www.tiktok.com/@morga_tt)
ABC7NY,Neutral,16,3813384,1024017,335,11383,58986643,58986643,[TikTok](https://www.tiktok.com/@abc7ny)
CBS New York,Neutral,14,3773793,968739,73,51696,39526858,39526858,[TikTok](https://www.tiktok.com/@cbsnewyork)
Eloise (cheeringforchange),Left-Leaning,453,3739487,3713461,17,219970,16463536,16463536,[TikTok](https://www.tiktok.com/@cheeringforchange)
Chris Valenti,Left-Leaning,0,3477194,-384460,141,24661,19284125,19284125,[TikTok](https://www.tiktok.com/@valentivideos.alt)
CBS Evening News,Neutral,-15,3438693,-2076521,123,27957,49726045,49726045,[TikTok](https://tiktok.com/@cbseveningnews)
Under the Desk News,Left-Leaning,15,3404258,735042,62,54907,19011600,19011600,[TikTok](https://tiktok.com/@underthedesknews)
News Nation,Neutral,-20,3388565,-3140828,323,10491,74935138,74935138,[TikTok](https://www.tiktok.com/@newsnationnow)
Benjamín Zamora,Neutral,11,3257498,496277,172,18939,65310100,65310100,[TikTok](https://tiktok.com/@benjaminzamoratv)
PBS News Hour,Neutral,-10,3249765,-1354725,259,12547,39105119,39105119,[TikTok](https://tiktok.com/@pbsnews)
Gaydar,Left-Leaning,50,3239706,1736294,21,154272,14874467,14874467,[TikTok](https://www.tiktok.com/@gaydar.show)
Harry Sisson,Left-Leaning,-16,3206820,-1725256,88,36441,24060900,24060900,[TikTok](https://tiktok.com/@harryjsisson)
Elijah - elijaaahhhhe,Left-Leaning,39,2992120,1325950,142,21071,15287704,15287704,[TikTok](https://www.tiktok.com/@elijaaahhhhe)
Chris Murphy,Left-Leaning,368,2845382,2793139,3,948461,14591953,14591953,[TikTok](https://www.tiktok.com/@chrismurphyct)
Tell Williams,Left-Leaning,34,2821182,1124214,40,70530,14342600,14342600,[TikTok](https://www.tiktok.com/@mrwilliamsprek)
AJ+,Left-Leaning,-27,2808466,-3066249,105,26747,23796308,23796308,[TikTok](https://www.tiktok.com/@ajplus)
Middle East Eye,Neutral,-5,2722862,-435780,55,49507,19885859,19885859,[TikTok](https://www.tiktok.com/@middleeasteye)
Alex Pearlman,Left-Leaning,-21,2680439,-2123957,22,121838,13039990,13039990,[TikTok](https://tiktok.com/@pearlmania500)
Daily Wire,Right-Leaning,96,2589660,1968710,44,58856,24502350,24502350,[TikTok](https://tiktok.com/@dailywire)
CSPAN,Neutral,-7,2420183,-712661,138,17538,45539974,45539974,[TikTok](https://tiktok.com/@cspanofficial)
Brian Tyler Cohen,Left-Leaning,15,2391316,353411,131,18254,24064469,24064469,[TikTok](https://tiktok.com/@briantylercohen)
Lisandra Vazquez,Left-Leaning,37,2385337,854824,69,34570,11491912,11491912,[TikTok](https://tiktok.com/@lisandravcomedy)
NBC Bay Area,Neutral,-33,2313326,-3457986,262,8829,44549362,44549362,[TikTok](https://www.tiktok.com/@nbcbayarea)
NBC 5 Chicago,Neutral,-16,2300612,-1287430,36,63906,25062576,25062576,[TikTok](https://www.tiktok.com/@nbcchicago)
Twig,Left-Leaning,209,2287547,2125950,119,19223,11615864,11615864,[TikTok](https://www.tiktok.com/@heyitstwig25)
FOX 9 | KMSP Minneapolis,Neutral,-31,2271920,-2744907,67,33909,33775749,33775749,[TikTok](https://www.tiktok.com/@fox9mn)
USA Today,Neutral,2,2244213,24073,290,7739,48751413,48751413,[TikTok](https://www.tiktok.com/@usatoday)
Lisa Remillard,Neutral,27,2243299,655250,23,97535,21066851,21066851,[TikTok](https://tiktok.com/@lisaremillard)
CNBC,Neutral,-2,2197586,-254790,416,5283,61594278,61594278,"[TikTok](https://tiktok.com/@cnbc), [TikTok](https://www.tiktok.com/@cnbc)"
The Older Millennial,Right-Leaning,-7,2108117,-520706,206,10234,16058202,16058202,[TikTok](https://www.tiktok.com/@theoldermillennial)
TizzyEnt,Left-Leaning,9,2048523,110655,51,40167,15017886,15017886,[TikTok](https://tiktok.com/@tizzyent)
Christian Maldonado,Left-Leaning,31,1957936,540788,16,122371,12305335,12305335,[TikTok](https://tiktok.com/@christianjmaldonado)
Candace Owens,Right-Leaning,-29,1953981,-1932270,29,67379,18886734,18886734,[TikTok](https://www.tiktok.com/@candaceoshow)
