entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Your Favorite Guy,Left-Leaning,-40,1460191,-1430117,46,31743,6815371,6815371,[TikTok](https://tiktok.com/@yourfavoriteguy)
Kai Trump,Right-Leaning,106,1438667,1059901,20,71933,17037624,17037624,[TikTok](https://www.tiktok.com/@thekaitrumpgolfer)
Xaviaer DuRousseau,Right-Leaning,-51,1412586,-1945705,22,64208,11087567,11087567,[TikTok](https://www.tiktok.com/@xaviaer)
Matt & Justus,Left-Leaning,63,1411262,835637,8,176408,13649335,13649335,[TikTok](https://www.tiktok.com/@mattandjustusofficial)
Nick Shirley,Right-Leaning,6,1365609,111911,7,195087,9023892,9023892,[TikTok](https://www.tiktok.com/@nickshirleyy)
The Recount,Left-Leaning,24,1358712,459169,78,17419,13937810,13937810,[TikTok](https://tiktok.com/@therecount)
Lisandra Vazquez,Left-Leaning,17,1345238,309628,50,26905,7114838,7114838,[TikTok](https://tiktok.com/@lisandravcomedy)
Daily Wire,Right-Leaning,-44,1318829,-1522279,34,38789,12362468,12362468,[TikTok](https://tiktok.com/@dailywire)
Christian Maldonado,Left-Leaning,-12,1314703,-173134,10,131470,7733440,7733440,[TikTok](https://tiktok.com/@christianjmaldonado)
CNBC,Neutral,-33,1281830,-897736,716,1790,49023926,49023926,"[TikTok](https://tiktok.com/@cnbc), [TikTok](https://www.tiktok.com/@cnbc)"
CBS Texas,Neutral,151,1263603,1026635,198,6382,24195692,24195692,[TikTok](https://www.tiktok.com/@cbsnewstexas)
CBS New York,Neutral,131,1241766,952506,115,10798,15859209,15859209,[TikTok](https://www.tiktok.com/@cbsnewyork)
Alicia Luncheon,Left-Leaning,15,1220827,294004,35,34881,8074537,8074537,[TikTok](https://tiktok.com/@theluncheonlawyer)
Lisa Remillard,Neutral,-10,1213330,-171827,25,48533,9364880,9364880,[TikTok](https://tiktok.com/@lisaremillard)
Andra Berghoff,Left-Leaning,38,1184755,464393,69,17170,8908110,8908110,[TikTok](https://tiktok.com/@hopeyoufindyourdad)
Congress Watch Daily,Left-Leaning,573,1168464,1161495,30,38949,7709596,7709596,[TikTok](https://www.tiktok.com/@congresswatchdaily)
Telemundo Miami,Neutral,61,1134411,619584,76,14926,36806347,36806347,[TikTok](https://www.tiktok.com/@telemundo51miami)
Jesse Watters,Right-Leaning,43,1119829,479521,86,13021,17139170,17139170,[TikTok](https://tiktok.com/@jessebwatters)
More Perfect Union,Left-Leaning,20,1102412,296740,73,15102,10779279,10779279,[TikTok](https://tiktok.com/@moreperfectunion)
The Older Millennial,Right-Leaning,-41,1088602,-980705,119,9148,6723794,6723794,[TikTok](https://www.tiktok.com/@theoldermillennial)
