entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Nick Freitas,Right-Leaning,,52961,,10,5296,332662,332662,[TikTok](https://www.tiktok.com/@nickjfreitas3.0)
Haley Lickstein,Left-Leaning,89,52844,29208,105,503,512986,512986,[TikTok](https://www.tiktok.com/@haleylickstein)
WFF News,Right-Leaning,-140,52587,-156942,15,3506,471616,471616,[TikTok](https://tiktok.com/@wffnews)
Wired,Neutral,-248,52344,-467464,32,1636,1140444,1140444,[TikTok](https://www.tiktok.com/@wired)
Democratic Congressional Campaign Committee (DCCC),Left-Leaning,-60,51426,-41401,19,2707,846232,846232,[TikTok](https://tiktok.com/@dccc)
Proud Union Guy,Left-Leaning,175,51391,41855,27,1903,956923,956923,[TikTok](https://tiktok.com/@proudunionguy)
Cam Higby,Right-Leaning,-71,51029,-52504,6,8505,574171,574171,[TikTok](https://tiktok.com/@thecamhigby)
Frederick Joseph,Left-Leaning,-4,50458,-6723,24,2102,370287,370287,[TikTok](https://www.tiktok.com/@fredericktjoseph)
Black Girls Who Brunch - Erika Harrison,Left-Leaning,59,50197,21872,15,3346,226847,226847,[TikTok](https://www.tiktok.com/@blackgirlswhobrunch)
Anton Daniels,Right-Leaning,,50166,,13,3859,1101963,1101963,[TikTok](https://www.tiktok.com/@1antondaniels)
Matt Bernstein,Left-Leaning,,50148,,3,16716,216100,216100,[TikTok](https://tiktok.com/@mattxiv)
Roxinrealtime,Right-Leaning,75,50082,25883,19,2636,294040,294040,[TikTok](https://www.tiktok.com/@roxannewfhm)
Kay,Right-Leaning,81,50059,27100,19,2635,282812,282812,[TikTok](https://www.tiktok.com/@kayleighhhlynnnn)
impactforgood_,Left-Leaning,86,49600,28335,16,3100,630254,630254,[TikTok](https://tiktok.com/@impactforgood_)
Brooker Tee Jones,Right-Leaning,57,49577,21957,12,4131,493097,493097,[TikTok](https://www.tiktok.com/@brookerteejones)
Fortune Magazine,Neutral,33,49039,14709,33,1486,1362317,1362317,[TikTok](https://www.tiktok.com/@fortune)
WMAR-2 News (Baltimore ABC),Neutral,172,48793,39737,20,2440,630168,630168,[TikTok](https://www.tiktok.com/@wmar2news)
Tiffany Fanae Butler,Right-Leaning,90,48600,29630,12,4050,207443,207443,[TikTok](https://www.tiktok.com/@thatsme_tiffany)
TL Duryea,Left-Leaning,-19,48537,-10868,91,533,653266,653266,[TikTok](https://tiktok.com/@tduryea)
Benjy Kusi,Left-Leaning,181,48291,40327,7,6899,591879,591879,[TikTok](https://tiktok.com/@benjy_lookbook)
Pastor Paul Drees,Left-Leaning,-66,47832,-34779,3,15944,212762,212762,[TikTok](https://www.tiktok.com/@pastorpauldrees)
The Free Press,Right-Leaning,-141,47685,-127712,15,3179,589282,589282,[TikTok](https://www.tiktok.com/@the.free.press)
The 'Gander,Left-Leaning,74,46693,24838,44,1061,268661,268661,[TikTok](https://www.tiktok.com/@gandernewsroom)
Michael Mezz,Left-Leaning,151,46152,36222,10,4615,284806,284806,[TikTok](https://tiktok.com/@michael_mezz)
The Rubin Report,Right-Leaning,93,44808,28425,58,773,879809,879809,[TikTok](https://www.tiktok.com/@officialrubinreport)
StandWithUs,Neutral,,44658,,35,1276,490844,490844,[TikTok](https://www.tiktok.com/@stand_with_us)
Caulin Donaldson - TrashCaulin,Neutral,-12,44360,-6870,47,944,283533,283533,[TikTok](https://www.tiktok.com/@trashcaulin)
Long Island Audit,Right-Leaning,-4,43506,197,13,3347,1011963,1011963,[TikTok](https://www.tiktok.com/@longislandaudit)
Saadia Mirza,Left-Leaning,-269,42887,-463999,18,2383,179373,179373,[TikTok](https://tiktok.com/@saadia___m)
ProPublica,Neutral,-141,41803,-124036,6,6967,197200,197200,[TikTok](https://www.tiktok.com/@ProPublica)
Eliza Orlins,Left-Leaning,-164,41286,-157143,32,1290,278625,278625,[TikTok](https://tiktok.com/@elizaorlins)
The Sacramento Bee,Neutral,-30,41199,-16648,11,3745,487371,487371,[TikTok](https://www.tiktok.com/@sacramentobee)
Jon Root,Right-Leaning,68,41140,19942,35,1175,581761,581761,[TikTok](https://tiktok.com/@jonnyroot_)
sabrina.sustainable.life,Left-Leaning,27,40731,10485,19,2144,212884,212884,[TikTok](https://tiktok.com/@sabrina.sustainable.life)
Touré,Left-Leaning,223,40586,36351,6,6764,177699,177699,[TikTok](https://www.tiktok.com/@toureshow)
FOX 7 Austin (KTBC),Neutral,44,40448,14546,8,5056,355189,355189,[TikTok](https://www.tiktok.com/@fox7austin)
WTVR CBS 6 (Richmond CBS),Neutral,171,40073,32431,13,3083,731561,731561,[TikTok](https://www.tiktok.com/@cbs6_rva)
Sheldon Whitehouse,Left-Leaning,118,39598,28345,5,7920,307619,307619,[TikTok](https://www.tiktok.com/@senwhitehouse)
"Tom Powell, Jr.",Left-Leaning,-254,39439,-349136,100,394,406513,406513,[TikTok](https://tiktok.com/@tompowelljr)
Colin Allred,Left-Leaning,58,38167,16702,39,979,373402,373402,[TikTok](https://www.tiktok.com/@colinallredtx)
Protect Our Care,Left-Leaning,249,37859,34759,15,2524,294790,294790,[TikTok](https://tiktok.com/@protectourcare)
Senate Strategic Communications Committee (SSCC),Left-Leaning,-295,37785,-539055,37,1021,505116,505116,[TikTok](https://www.tiktok.com/@senateinsession)
Ruben Gallego,Left-Leaning,-204,37686,-221206,30,1256,843065,843065,[TikTok](https://www.tiktok.com/@rubengallegoaz)
Gretchen Whitmer,Left-Leaning,-189,37275,-182990,17,2193,252989,252989,[TikTok](https://www.tiktok.com/@biggretchwhitmer)
Ambers Closet,Left-Leaning,285,36745,35026,14,2625,540708,540708,[TikTok](https://www.tiktok.com/@amberscloset33)
The Minnesota Star Tribune,Neutral,44,36400,12477,10,3640,616224,616224,[TikTok](https://www.tiktok.com/@startribune)
Kylie Brewer,Left-Leaning,-110,36237,-66051,2,18119,202701,202701,[TikTok](https://www.tiktok.com/@kylie.brewer)
Craig Long,Right-Leaning,113,35980,24907,42,857,400794,400794,[TikTok](https://tiktok.com/@craiglong45)
Jacob Simon,Neutral,-4,35486,886,9,3943,150659,150659,[TikTok](https://www.tiktok.com/@jacobsimonsays)
Michael Liner,Neutral,-64,34842,-32408,39,893,1037982,1037982,[TikTok](https://tiktok.com/@backwardshatbarrister)
Paola Ramos,Left-Leaning,-93,34493,-46326,3,11498,221200,221200,[TikTok](https://www.tiktok.com/@pa0ram0s)
Cody Dahler,Left-Leaning,-227,34359,-246350,1,34359,198900,198900,[TikTok](https://www.tiktok.com/@mrcodydahler)
Zach Wahls,Left-Leaning,378,34120,33991,6,5687,426743,426743,[TikTok](https://www.tiktok.com/@zachwahls)
The Nevadan,Left-Leaning,21,33800,6814,91,371,346946,346946,[TikTok](https://www.tiktok.com/@nevadannews)
Graham Allen,Right-Leaning,247,33757,31082,21,1607,344985,344985,[TikTok](https://www.tiktok.com/@thegrahamallen)
Victor Nieves,Right-Leaning,-94,33729,-45344,16,2108,291914,291914,[TikTok](https://www.tiktok.com/@notvictornieves)
Corruption Tracker,Left-Leaning,,33387,,3,11129,187814,187814,[TikTok](https://www.tiktok.com/@corruption.tracker)
WCCO CBS News Minnesota,Neutral,58,32909,15835,11,2992,1257681,1257681,[TikTok](https://www.tiktok.com/@wcconews)
Alexis Amber,Left-Leaning,,32410,,1,32410,181230,181230,[TikTok](https://www.tiktok.com/@daiquiriheiress)
Mark Kelly,Left-Leaning,-21,32027,-6282,4,8007,277900,277900,[TikTok](https://www.tiktok.com/@captmarkkelly)
Joshua Doss,Left-Leaning,-356,31826,-1023580,9,3536,134650,134650,[TikTok](https://www.tiktok.com/@doss.discourse)
Chrissy Clark,Right-Leaning,9,31213,3289,19,1643,210721,210721,"[TikTok](https://www.tiktok.com/@chrissyclark_), [TikTok](https://www.tiktok.com/@thechrissyclark_)"
Andre White,Left-Leaning,-169,30916,-123119,8,3864,134148,134148,[TikTok](https://tiktok.com/@blackkout___)
Taylor Lorenz,Left-Leaning,234,30706,27879,5,6141,365089,365089,[TikTok](https://www.tiktok.com/@taylorlorenz)
Future Trillionaires,Right-Leaning,19,30466,5347,15,2031,631747,631747,[TikTok](https://www.tiktok.com/@future_trillionaires)
Fox Nation,Right-Leaning,140,29864,22014,43,695,419522,419522,[TikTok](https://www.tiktok.com/@foxnation)
Dana Perino,Right-Leaning,135,29789,21852,6,4965,440100,440100,[TikTok](https://www.tiktok.com/@thedanaperino)
Hypocrisy Hammer,Left-Leaning,-315,29578,-498278,6,4930,560143,560143,[TikTok](https://www.tiktok.com/@hypocrisyhammer)
Distill Social,Left-Leaning,26,29347,6496,17,1726,138483,138483,[TikTok](https://www.tiktok.com/@distillsocial)
Devin (uniting now),Left-Leaning,9,29265,3138,14,2090,260577,260577,[TikTok](https://www.tiktok.com/@unitingnow)
Builder's Movement,Neutral,,29180,,4,7295,850569,850569,[TikTok](https://www.tiktok.com/@buildersmvt)
WBFF / FOX45 Baltimore (Baltimore Fox),Neutral,143,28591,21707,35,817,475318,475318,[TikTok](https://www.tiktok.com/@foxbaltimore)
Parkrose Permaculture,Left-Leaning,-57,28283,-22832,31,912,200823,200823,[TikTok](https://www.tiktok.com/@parkrosepermaculture)
Sam Foster,Left-Leaning,321,27604,27184,9,3067,101032,101032,[TikTok](https://www.tiktok.com/@samformarietta)
Savannah Craven,Right-Leaning,297,27515,26837,11,2501,312139,312139,[TikTok](https://tiktok.com/@savannahacraven)
Kyla Scanlon,Neutral,,27448,,5,5490,249600,249600,[TikTok](https://www.tiktok.com/@kylascan)
John Fredericks,Right-Leaning,-211,27169,-178524,22,1235,297756,297756,[TikTok](https://www.tiktok.com/@jfradioshow)
Kaisa,Left-Leaning,-238,27123,-228480,4,6781,204851,204851,[TikTok](https://www.tiktok.com/@kaisastreams)
Reecie Colbert,Left-Leaning,234,26582,24334,11,2417,119055,119055,[TikTok](https://tiktok.com/@reeciecolbert)
Kerry Robertson,Left-Leaning,16,26275,4404,19,1383,185837,185837,[TikTok](https://tiktok.com/@kerr.bear3.0)
Ilhan Omar,Left-Leaning,-212,26273,-167619,6,4379,437200,437200,"[TikTok](https://tiktok.com/@rep_ilhan), [TikTok](https://www.tiktok.com/@ilhanmn)"
The Salt Lake Tribune,Neutral,-74,25740,-28955,5,5148,236481,236481,[TikTok](https://www.tiktok.com/@sltrib)
CBS News Bay Area,Neutral,-78,25425,-30788,13,1956,424594,424594,[TikTok](https://www.tiktok.com/@kpixtv)
Omar Fateh,Left-Leaning,-140,24853,-68442,9,2761,277329,277329,[TikTok](https://www.tiktok.com/@omarfatehmn)
Chi Ossé,Left-Leaning,124,24845,17526,3,8282,86896,86896,[TikTok](https://www.tiktok.com/@chi4nyc)
Savannah Hernandez,Right-Leaning,359,24428,24358,2,12214,315556,315556,[TikTok](https://www.tiktok.com/@savhernandez1776)
Dogwood,Left-Leaning,93,24027,14479,44,546,507387,507387,[TikTok](https://www.tiktok.com/@vadogwoodnews?)
Fox 5 NY,Neutral,-48,23999,-13178,15,1600,648833,648833,[TikTok](https://www.tiktok.com/@fox5newyork)
United Nations,Neutral,-26,23498,-6194,6,3916,198584,198584,[TikTok](https://www.tiktok.com/@unitednations)
Will Cain,Right-Leaning,130,23395,16898,2,11698,405056,405056,[TikTok](https://www.tiktok.com/@willcainshow)
Gina DiVittorio - The Pocket Report,Left-Leaning,-78,23215,-28294,6,3869,112660,112660,[TikTok](https://tiktok.com/@thepocketreport)
Teacher Pay with Kristen,Left-Leaning,-23,23019,-5073,44,523,295422,295422,[TikTok](https://www.tiktok.com/@teacherpaywithk)
Abigail Spanberger,Left-Leaning,6,22666,1240,12,1889,159798,159798,[TikTok](https://www.tiktok.com/@teamspanberger)
Jobob Taeleifi,Right-Leaning,-192,22446,-114908,79,284,300836,300836,[TikTok](https://tiktok.com/@thejobob)
Therealkalifontanilla,Right-Leaning,,22052,,6,3675,180752,180752,[TikTok](https://www.tiktok.com/@therealkalifontanilla)
Hillbilly Elitist,Left-Leaning,76,21963,11732,46,477,405136,405136,[TikTok](https://www.tiktok.com/@hillbillyelitist)
Brownneckbrian,Right-Leaning,65,21905,10867,14,1565,187053,187053,[TikTok](https://www.tiktok.com/@brownneckbrianaz)
Auntie Liza Peterson,Neutral,,21780,,1,21780,191200,191200,[TikTok](https://www.tiktok.com/@lizapeterson410)
The Kansas City Star,Neutral,-165,21451,-84653,8,2681,190151,190151,[TikTok](https://www.tiktok.com/@thekansascitystar)
Adam Schiff,Left-Leaning,-225,21078,-165427,2,10539,167600,167600,[TikTok](https://www.tiktok.com/@adamschiff)
