entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Gerlyn Henry,Left-Leaning,251,263924,243392,1,263924,3056123,3056123,[TikTok](https://www.tiktok.com/@rev.gerlynhenry)
Patrick Bet-David,Right-Leaning,-13,260322,-72711,116,2244,4012332,4012332,[TikTok](https://www.tiktok.com/@patrickbetdavid)
Ruben Gallego,Left-Leaning,264,258892,242980,43,6021,3238570,3238570,[TikTok](https://www.tiktok.com/@rubengallegoaz)
Kaisa,Left-Leaning,222,255603,229255,5,51121,1779105,1779105,[TikTok](https://www.tiktok.com/@kaisastreams)
Clip the Crisis,Left-Leaning,155,253090,194909,9,28121,2253525,2253525,[TikTok](https://www.tiktok.com/@clipthecrisis)
Trish Regan,Right-Leaning,-34,249386,-140338,188,1327,3451370,3451370,[TikTok](https://www.tiktok.com/@trishregan)
Josh Greene - Josh the Progressive,Left-Leaning,-30,248584,-134835,36,6905,2138411,2138411,"[TikTok](https://www.tiktok.com/@joshtheprogressive), [TikTok](https://tiktok.com/@peacefulprogressive)"
Chad Prather,Right-Leaning,94,244731,129402,53,4618,2358664,2358664,[TikTok](https://www.tiktok.com/@chadprather)
NBC 5 DFW,Neutral,-68,243810,-302526,19,12832,5968366,5968366,[TikTok](https://www.tiktok.com/@nbcdfw)
Robby Roadsteamer,Left-Leaning,,240821,,5,48164,1818301,1818301,[TikTok](https://www.tiktok.com/@roadsteamer)
Rob Smith,Right-Leaning,-42,237049,-157440,84,2822,2345716,2345716,[TikTok](https://www.tiktok.com/@cantcancelrobsmith)
Maria Comstock,Left-Leaning,245,231172,212377,3,77057,1997513,1997513,"[TikTok](https://www.tiktok.com/@mariaisabellecomstock), [TikTok](https://www.tiktok.com/@possiblymaria)"
Nathan Jun,Left-Leaning,153,225822,172146,15,15055,1663002,1663002,[TikTok](https://www.tiktok.com/@nathancjun)
Fox & Friends,Right-Leaning,,225465,,24,9394,2696468,2696468,[TikTok](https://www.tiktok.com/@foxandfriends)
The Adam Friedland Show,Left-Leaning,,224364,,4,56091,1763586,1763586,[TikTok](https://www.tiktok.com/@adamfriedlandshowclips)
Ben Shapiro,Right-Leaning,-35,223737,-143267,34,6581,3165680,3165680,[TikTok](https://www.tiktok.com/@real.benshapiro)
Texas Paul,Left-Leaning,158,221221,174410,29,7628,1072319,1072319,[TikTok](https://www.tiktok.com/@paultx890)
Gretchen Whitmer,Left-Leaning,94,220265,110753,15,14684,1483581,1483581,[TikTok](https://www.tiktok.com/@biggretchwhitmer)
Jess Piper,Left-Leaning,94,220256,111321,36,6118,1110901,1110901,[TikTok](https://tiktok.com/@jesspipermo)
Alicia Luncheon,Left-Leaning,43,217449,53580,18,12080,1337150,1337150,[TikTok](https://tiktok.com/@theluncheonlawyer)
Hertraline,Left-Leaning,44,216913,54187,40,5423,2301885,2301885,[TikTok](https://www.tiktok.com/@hertraline)
Tad Stoermer,Left-Leaning,140,213746,156536,19,11250,1210572,1210572,[TikTok](https://www.tiktok.com/@tadstoermer)
