entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Brad Lander,Left-Leaning,168,111058,110749,19,5845,896429,896429,[TikTok](https://www.tiktok.com/@bradlandernyc)
Black Conservative Perspective,Right-Leaning,83,110289,108262,75,1471,1440105,1440105,[TikTok](https://www.tiktok.com/@black..conservative.p)
Gretchen Whitmer,Left-Leaning,-86,109512,67781,15,7301,668646,668646,[TikTok](https://www.tiktok.com/@biggretchwhitmer)
Jess Piper,Left-Leaning,-169,108935,-32842,33,3301,704186,704186,[TikTok](https://tiktok.com/@jesspipermo)
David Won’t Shut Up!,Left-Leaning,-49,107830,89490,37,2914,1123044,1123044,[TikTok](https://www.tiktok.com/@davidwontshutup)
SEIU,Left-Leaning,83,107728,105748,38,2835,1117872,1117872,[TikTok](https://tiktok.com/@seiu_org)
Sofia Ongele,Left-Leaning,117,106681,105783,3,35560,345835,345835,[TikTok](https://tiktok.com/@sewpheeyuh)
Center for American Progress,Left-Leaning,22,105589,100549,26,4061,711043,711043,[TikTok](https://tiktok.com/@americanprogress)
Jessica Valenti,Left-Leaning,-172,100733,-38053,14,7195,1143920,1143920,[TikTok](https://www.tiktok.com/@auntiekilljoy)
Neverwoke,Right-Leaning,37,99123,95073,58,1709,1721121,1721121,[TikTok](https://www.tiktok.com/@never.woke)
Iowa Starting Line,Left-Leaning,80,98872,97089,36,2746,685448,685448,[TikTok](https://www.tiktok.com/@iowastartingline?)
Greg Landsman,Left-Leaning,230,98120,98105,10,9812,615481,615481,[TikTok](https://www.tiktok.com/@greglandsmanoh)
Dan Bongino,Right-Leaning,-33,95950,83501,57,1683,1065279,1065279,[TikTok](https://www.tiktok.com/@danbonginox)
Tiffany Fanae Butler,Right-Leaning,,95774,,21,4561,437339,437339,[TikTok](https://www.tiktok.com/@thatsme_tiffany)
Laurenzo Adesso,Left-Leaning,-56,93879,77138,8,11735,822757,822757,[TikTok](https://tiktok.com/@adesso.laurenzo)
Jacob Simon,Neutral,,92971,,7,13282,412383,412383,[TikTok](https://www.tiktok.com/@jacobsimonsays)
Democracy Now!,Left-Leaning,-105,92912,47835,48,1936,1182883,1182883,[TikTok](https://www.tiktok.com/@democracynow.org)
sabrina.sustainable.life,Left-Leaning,36,91914,88409,47,1956,1874109,1874109,[TikTok](https://tiktok.com/@sabrina.sustainable.life)
Mark Kaye,Right-Leaning,-181,90739,-46597,9,10082,672422,672422,[TikTok](https://www.tiktok.com/@mark.kaye.show)
Gen-Z for Change,Left-Leaning,-129,90015,34585,20,4501,508918,508918,[TikTok](https://tiktok.com/@genzforchange)
Girl and The Gov,Left-Leaning,-57,88915,73008,67,1327,584838,584838,[TikTok](https://www.tiktok.com/@girlandthegov)
The Nevadan,Left-Leaning,166,87391,87224,64,1365,713417,713417,[TikTok](https://www.tiktok.com/@nevadannews)
Andy Frisella,Right-Leaning,-145,86946,25244,182,478,904890,904890,[TikTok](https://www.tiktok.com/@personal.excellence)
Forbes,Neutral,-209,84815,-112004,13,6524,1106864,1106864,[TikTok](https://www.tiktok.com/@forbes)
Luke Beasley,Left-Leaning,102,83352,82548,3,27784,758917,758917,[TikTok](https://www.tiktok.com/@lukebeasleyofficial)
Parkrose Permaculture,Left-Leaning,-22,83044,74649,51,1628,561257,561257,[TikTok](https://www.tiktok.com/@parkrosepermaculture)
The Krassensteins,Left-Leaning,55,82589,80367,10,8259,1163880,1163880,[TikTok](https://www.tiktok.com/@krassenstein)
Dave Bondy,Right-Leaning,-133,82081,28640,51,1609,1793369,1793369,[TikTok](https://www.tiktok.com/@davebondy)
Ayanna Pressley,Left-Leaning,-269,79615,-439852,10,7962,640443,640443,[TikTok](https://www.tiktok.com/@reppressley)
Nakia Deon,Right-Leaning,,79067,,65,1216,688823,688823,[TikTok](https://www.tiktok.com/@nakia.deon)
Clay (What in Claynation),Left-Leaning,41,76446,73913,57,1341,1559629,1559629,[TikTok](https://www.tiktok.com/@whatinclaynation)
Anthony Kort,Right-Leaning,,74616,,26,2870,849051,849051,[TikTok](https://www.tiktok.com/@anthonykort)
Benny Johnson,Right-Leaning,,74063,,20,3703,652604,652604,[TikTok](https://tiktok.com/@realbennyjohnson)
Nikita Redkar Dumptruck,Left-Leaning,-148,72965,15205,11,6633,343834,343834,[TikTok](https://tiktok.com/@nikitadumptruck)
Joshua Doss,Left-Leaning,20,71683,68190,8,8960,448097,448097,[TikTok](https://www.tiktok.com/@doss.discourse)
Alyssa Marie,Right-Leaning,,71279,,1,71279,415189,415189,[TikTok](https://tiktok.com/@alyssamariiee2.0)
Quentin R. Jiles,Left-Leaning,-90,69133,45401,18,3841,326829,326829,[TikTok](https://www.tiktok.com/@quentinjiles)
GLAAD,Left-Leaning,141,68934,68708,10,6893,485532,485532,[TikTok](https://tiktok.com/@glaad)
Saikat Chakrabarti,Left-Leaning,,66667,,12,5556,331627,331627,[TikTok](https://www.tiktok.com/@saikatforcongress)
Greg Casar,Left-Leaning,,65906,,9,7323,639390,639390,[TikTok](https://www.tiktok.com/@repcasar)
Kaivan Shroff,Left-Leaning,132,64978,64707,77,844,808029,808029,[TikTok](https://www.tiktok.com/@kaivanshroff)
John Fredericks,Right-Leaning,-84,64932,48135,33,1968,779330,779330,[TikTok](https://www.tiktok.com/@jfradioshow)
AARP,Left-Leaning,40,64913,62754,6,10819,5244839,5244839,[TikTok](https://tiktok.com/@aarp)
The Keystone,Left-Leaning,183,63532,63479,61,1042,1237564,1237564,[TikTok](https://www.tiktok.com/@keystonenewsroom)
Scott Galloway,Neutral,-196,62980,-46368,20,3149,1072054,1072054,[TikTok](https://www.tiktok.com/@profgalloway)
Tom Morris - Stay at Home Tom,Left-Leaning,,62482,,1,62482,505075,505075,[TikTok](https://www.tiktok.com/@stay.at.home.tomm)
Cheddar,Neutral,179,59527,59473,12,4961,1958677,1958677,[TikTok](https://www.tiktok.com/@cheddar)
Selina Wang,Neutral,-24,59421,53989,28,2122,1299216,1299216,[TikTok](https://www.tiktok.com/@selinawangtv)
Jobob Taeleifi,Right-Leaning,-106,58689,33832,85,690,438866,438866,[TikTok](https://tiktok.com/@thejobob)
Caulin Donaldson,Neutral,-63,58371,47645,27,2162,1284663,1284663,[TikTok](https://www.tiktok.com/@trashcaulin)
Clip the Crisis,Left-Leaning,-68,58181,46976,3,19394,505324,505324,[TikTok](https://www.tiktok.com/@clipthecrisis)
Human Rights Campaign,Left-Leaning,-281,57915,-364926,41,1413,355499,355499,[TikTok](https://tiktok.com/@humanrightscampaign)
Tad Stoermer,Left-Leaning,,57210,,19,3011,379389,379389,[TikTok](https://www.tiktok.com/@tadstoermer)
The Copper Courier,Left-Leaning,,56437,,53,1065,643016,643016,[TikTok](https://www.tiktok.com/@coppercourier)
Amanda Nelson,Left-Leaning,,56174,,5,11235,220269,220269,[TikTok](https://www.tiktok.com/@amandasmildtakes)
Jordan Wood,Left-Leaning,,54773,,13,4213,283193,283193,[TikTok](https://www.tiktok.com/@jordanwoodmaine)
Nathan Jun,Left-Leaning,-34,53676,48217,4,13419,292626,292626,[TikTok](https://www.tiktok.com/@nathancjun)
Black Tea News,Right-Leaning,21,53270,50861,28,1902,494448,494448,[TikTok](https://www.tiktok.com/@blackteanews)
