entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Jon Stewart,Left-Leaning,-85,197847,-10368,25,7914,3480951,3480951,[TikTok](https://www.tiktok.com/@weeklyshowpodcast)
Rachel Cohen,Left-Leaning,87,195824,151685,29,6753,833706,833706,[TikTok](https://www.tiktok.com/@cohen489)
The Hill,Neutral,102,193897,154745,41,4729,5266008,5266008,[TikTok](https://tiktok.com/@thehillpolitics)
Ilhan Omar,Left-Leaning,-210,191057,-450107,26,7348,4079282,4079282,"[TikTok](https://www.tiktok.com/@ilhanmn), [TikTok](https://tiktok.com/@rep_ilhan)"
GLAAD,Left-Leaning,,190055,,10,19006,1332281,1332281,[TikTok](https://tiktok.com/@glaad)
Daricka (gymwaifu1),Left-Leaning,245,188731,179482,13,14518,1337321,1337321,[TikTok](https://www.tiktok.com/@gymwaifu1)
Luke Beasley,Left-Leaning,-133,186053,-123076,8,23257,1235267,1235267,[TikTok](https://www.tiktok.com/@lukebeasleyofficial)
Oversight Dems,Left-Leaning,-60,184603,23717,35,5274,820856,820856,[TikTok](https://www.tiktok.com/@oversightdems)
Saikat Chakrabarti,Left-Leaning,115,184513,152134,29,6363,915588,915588,[TikTok](https://www.tiktok.com/@saikatforcongress)
More Magical Than Practical,Left-Leaning,161,184190,162601,18,10233,684446,684446,[TikTok](https://www.tiktok.com/@moremagicalthanpractical)
Status Coup,Left-Leaning,175,182720,164509,24,7613,1911163,1911163,[TikTok](https://www.tiktok.com/@StatusCoup)
AL.com,Neutral,186,173854,157337,4,43464,3880209,3880209,[TikTok](https://www.tiktok.com/@al.comnews)
The Huntsville Times / AL.com,Neutral,186,173854,157337,4,43464,3880209,3880209,[TikTok](https://www.tiktok.com/@al.comnews)
Dr. Tommy Martin,Neutral,-112,173716,-61416,95,1829,3566817,3566817,[TikTok](https://www.tiktok.com/@dr.tommymartin)
Prem Thakker,Left-Leaning,459,171757,171296,2,85879,954238,954238,[TikTok](https://www.tiktok.com/@prem_thakker)
WTXF-TV (FOX 29 Philadelphia),Neutral,-224,171394,-477611,13,13184,4172206,4172206,[TikTok](https://www.tiktok.com/@fox29philadelphia)
Sunrise Movement,Left-Leaning,313,170002,166202,34,5000,940642,940642,[TikTok](https://tiktok.com/@sunrisemvmt)
John Fredericks,Right-Leaning,140,166708,141005,36,4631,1261167,1261167,[TikTok](https://www.tiktok.com/@jfradioshow)
Judah thee Glutelord,Left-Leaning,-73,165130,678,59,2799,993540,993540,[TikTok](https://www.tiktok.com/@werewolffbarmitzvah)
Fox 10 Phoenix,Neutral,-80,163245,-5240,22,7420,2504254,2504254,[TikTok](https://www.tiktok.com/@fox10phoenix)
Franklin Andrés Camargo Armas,Right-Leaning,,162266,,7,23181,1326433,1326433,[TikTok](https://www.tiktok.com/@frankandresc)
Russell Brand,Right-Leaning,-193,161775,-295344,68,2379,1960425,1960425,[TikTok](https://www.tiktok.com/@russellbrand)
NEWSGIRLS,Left-Leaning,403,161314,160191,2,80657,1853089,1853089,[TikTok](https://www.tiktok.com/@newsgirls.reports)
Maxwell Frost,Left-Leaning,135,160588,135878,12,13382,768956,768956,"[TikTok](https://www.tiktok.com/@repmaxwellfrost), [TikTok](https://tiktok.com/@repmaxwellfrost)"
Heather Gardner,Left-Leaning,-3,160431,85279,20,8022,883427,883427,[TikTok](https://tiktok.com/@heathergtv)
Bernie Sanders,Left-Leaning,-95,159883,-26367,17,9405,1356969,1356969,"[TikTok](https://www.tiktok.com/@sensanders), [TikTok](https://www.tiktok.com/@bernie)"
Josh Shapiro,Left-Leaning,354,156658,154486,17,9215,1663565,1663565,[TikTok](https://tiktok.com/@joshshapiropa)
Graham Allen,Right-Leaning,8,156544,88390,26,6021,990677,990677,[TikTok](https://www.tiktok.com/@thegrahamallen)
Elizabeth Warren,Left-Leaning,94,155414,122083,16,9713,1092185,1092185,[TikTok](https://www.tiktok.com/@elizabethwarren)
