entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
More Magical Than Practical,Left-Leaning,-87,58875,-125315,18,3271,271624,271624,[TikTok](https://www.tiktok.com/@moremagicalthanpractical)
WFF News,Right-Leaning,-23,58565,-47274,13,4505,921588,921588,[TikTok](https://tiktok.com/@wffnews)
Mother Jones,Left-Leaning,56,58082,-381,23,2525,335855,335855,[TikTok](https://www.tiktok.com/@motherjonesmag)
Michael Knowles,Right-Leaning,74,57360,9787,20,2868,512730,512730,[TikTok](https://www.tiktok.com/@notmichaelknowles)
The Five,Right-Leaning,235,56195,44894,47,1196,733178,733178,[TikTok](https://www.tiktok.com/@thefive)
Hope Walz,Left-Leaning,-201,55880,-338189,10,5588,260403,260403,[TikTok](https://www.tiktok.com/@hopewalz)
Jake Tapper,Neutral,90,55617,18378,35,1589,1247116,1247116,[TikTok](https://www.tiktok.com/@jaketapper)
Brooker Tee Jones,Right-Leaning,8,55606,-25073,31,1794,412734,412734,[TikTok](https://www.tiktok.com/@brookerteejones)
UKUSpolitics,Left-Leaning,128,55408,26217,3,18469,330664,330664,[TikTok](https://tiktok.com/@ukuspolitics)
Gretchen Whitmer,Left-Leaning,125,54968,25548,16,3435,302211,302211,[TikTok](https://www.tiktok.com/@biggretchwhitmer)
Mark Pocan,Left-Leaning,210,54879,42141,8,6860,532461,532461,[TikTok](https://tiktok.com/@repmarkpocan)
GLAAD,Left-Leaning,-103,54518,-135537,11,4956,417697,417697,[TikTok](https://tiktok.com/@glaad)
Democratic Congressional Campaign Committee (DCCC),Left-Leaning,167,54517,35752,34,1603,1363093,1363093,[TikTok](https://tiktok.com/@dccc)
She Was Giving,Left-Leaning,-204,54350,-330895,1,54350,541123,541123,[TikTok](https://www.tiktok.com/@shewasgiving)
The Georgia Peach Club,Left-Leaning,-183,54094,-282976,4,13524,536949,536949,[TikTok](https://www.tiktok.com/@_peachclub)
The Lincoln Project,Left-Leaning,23,54041,-14135,19,2844,325725,325725,[TikTok](https://www.tiktok.com/@thelincolnproject)
Cheyenne Hunt,Left-Leaning,84,53452,17335,13,4112,234344,234344,[TikTok](https://www.tiktok.com/@cheyennehuntca)
Hananya Naftali,Right-Leaning,207,53125,40812,20,2656,373181,373181,[TikTok](https://www.tiktok.com/@hananyanaftali)
Emily Saves America,Right-Leaning,177,52452,36453,20,2623,1997378,1997378,[TikTok](https://www.tiktok.com/@emilysavesamerica)
The Young Turks,Left-Leaning,317,52150,48777,16,3259,446884,446884,[TikTok](https://www.tiktok.com/@theyoungturks)
